SOUTHAMPTON-CUMBERLAND-PLACE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU416124,Long,-1.40863,Lat,50.91003,Elevation,70,ft,,,,,,,,,,,,
Station no,RR6596,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,,,,3.17,,,5.9,5.5,,,,,,
February,,,,,,,,,4.82,1.38,,,1.3,0.2,,,,,,
March,,,,,,,,,3.43,1.29,,,0.7,0.8,,,,,,
April,,,,,,,,,3.18,3.34,,,0.6,3.1,0.2,,,,,
May,,,,,,,,,0.7,2.63,,,2.7,2.2,5.9,,,,,
June,,,,,,,,,6.69,0.99,,,5.4,2.9,1.7,,,,,
July,,,,,,,,,2.75,3.13,,,2.2,2.4,,,,,,
August,,,,,,,,,5.12,0.45,,,5.3,2.2,,,,,,
September,,,,,,,,,3.11,4.53,,,4.8,1.5,,,,,,
October,,,,,,,,,4.21,5.61,,,6.5,6.1,,,,,,
November,,,,,,,,,2.58,1.71,,,10,1.6,,,,,,
December,,,,,,,,,5.03,4.77,,,4.3,0.4,,,,,,
Total,,,,,,,,,,33,,,49.7,28.9,,,,,,
,,,,,,,,,,,,,,,,,,,,
Winsor House Cumberland Place,,,,,,,,,,,,,,,,,,,,
Observer had an observatory in his garden,,,,,,,,,,,,,,,,,,,,
Gauge 9ft 7in above ground,,,,,,,,,,,,,,,,,,,,
Observers records lost 1852-54 taken from other source,,,,,,,,,,,,,,,,,,,,
