WEST DERBY CROXTETH HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ408943,Long,-2.892711,Lat,53.44213,Elevation,79,ft,,,,,,,,,,,,
Station no,RR6973,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,5.26,1.25,1.64,1.9,2.48,0.84,3.85,3.79,1.31,,,,,
February,,,,,,,2.75,1.6,2.59,1.05,2.97,2.55,1.18,0.82,1.96,,,,,
March,,,,,,,2.69,2.26,3,2.92,0.91,1.17,4.87,3.1,3.27,,,,,
April,,,,,,,1.25,1.3,2.38,2.9,2.94,2.25,0.36,3.67,0.67,,,,,
May,,,,,,,3.1,2.97,3.02,2.01,2.71,0.92,2.3,2.5,1.81,,,,,
June,,,,,,,1.29,6.87,2.26,2.4,3.54,2.99,3.98,2.12,1.54,,,,,
July,,,,,,,1.25,3.58,3.88,5.12,4.65,0.82,4.35,1.85,4.7,,,,,
August,,,,,,,2.8,3.53,3.25,3.38,4.13,3.59,6.11,2.25,2.51,,,,,
September,,,,,,,1.98,0.79,3.59,3.19,0.66,4.48,1.42,1.77,3.25,,,,,
October,,,,,,,5.03,3.45,2.4,4.72,2.04,2.95,3.51,2.54,2.52,,,,,
November,,,,,,,2.29,3.56,2.8,1.24,5.17,2.83,2.47,3.47,3.21,,,,,
December,,,,,,,3.22,2.8,2.07,6.13,3.44,4.77,3.06,2.53,5.67,,,,,
Total,,,,,,,32.91,33.96,32.88,36.96,35.64,30.16,37.46,30.41,32.42,,,,,
