BRANXHOLM,,,,,,,,,,,,,,,,,,,,
Grid ref,NT469121,Long,-2.8399,Lat,55.4001,Elevation,475,ft,,,,,,,,,,,,
Station no,RR423,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789
January,,,,4.1,0.3,5.35,6.07,1.87,2.2,1.4,-999,1.3,7.45,3.03,,,,,,
February,,,,2.37,3.43,4.6,,3.38,0.6,1.7,-999,3.6,2.4,3.65,,,,,,
March,,,,1.35,0.75,2.45,1.38,1.55,6.2,0.25,2.95,0.2,3.85,1.7,,,,,,
April,,,,3.2,1.9,0.7,1.55,2.83,1.93,2.65,2.5,1.85,1.9,0.1,,,,,,
May,,,,2,3.45,1.48,1.72,1.8,2.2,3.02,4.02,1.48,5.5,1.52,,,,,,
June,,,,1.13,3.6,1.5,0.38,2.45,2.4,2.08,2.1,2,1.65,2.3,,,,,,
July,,,,0.75,2.45,3.57,3.42,2.05,5.5,4.98,2.05,1.7,1.75,3.75,,,,,,
August,,,,1.85,4.5,4.42,2.9,2.45,1.77,1.05,0.25,6.25,3.7,2.7,,,,,,
September,,,,4.6,3.35,4.3,2.75,0.75,2.2,4.97,3.35,1.12,4.7,3.78,,,,,,
October,,,,6.12,0.95,4.55,1.8,7.4,6.25,4.45,4.7,0.95,3.15,4.45,,,,,,
November,,,,1.55,2.25,4,2.45,2.75,4.4,1.18,1.98,4.25,0.8,3.7,,,,,,
December,,,,3.63,2.32,1.65,1.88,0.25,4.35,3.97,0.35,4.6,1.35,1.05,,,,,,
Total,,,,32.65,29.25,38.57,26.3,29.53,40,31.7,25.5,29.3,38.2,31.73,,,,,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1677-1886_B_pt1-page-075.csv,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1677-1886_B_pt1-page-076.csv CORRECTION: 1780 January bracketted values; 1780 November 1.98 (JacsHu),,,,,,,,,,,,,,,,,,,,
