FLEETWOOD MEMORIAL PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD328474,Long,-3.02465,Lat,53.9184,Elevation,21,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3058/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,3.45,1.93,3.6,2.62,4.19,3.62,2.77,1.53,4.04,5.88,4.58,2.3,3.74,3.99,7.41,1.97,1.74,4.04,3.45,1.6,2.72,2.43,,,,,
February,,,,0.05,3.47,2.22,5.18,1.15,2.27,1.77,3.75,1.57,1.92,1.58,4.01,3.64,0.65,2.27,1.3,4.3,3.5,0.98,0.97,3.57,1.79,,,,,
March,,,,2.01,0.93,1.92,1.34,1.36,1.62,2.81,2.79,2.02,0.59,0.66,1.87,0.62,5.03,2.21,2.05,1.98,4.57,2.23,0.54,2.02,1.47,,,,,
April,,,,2.44,2.35,0.66,3.26,0.42,2.56,1.78,1.1,1.76,2.33,3.59,1.63,1.35,3.49,1.2,3.07,2.6,1.18,3.05,2.75,0.98,,,,,,
May,,,,2.63,1.19,0.88,1.89,3.15,1,2.45,3.02,3.15,3.43,2.82,3.01,1.74,5,1.32,2.86,0.91,2.9,2.56,2.09,2.8,,,,,,
June,,,,2.81,3.85,3.51,2.76,4.21,2.97,0.49,0.33,1.16,1.95,3.15,3.49,2.78,2.91,5.35,0.52,1.75,0.95,2.74,1.45,3.44,,,,,,
July,,,,2.85,0.9,2.92,2.23,3.35,4.74,3.37,1.03,4.01,3.98,3.15,2.58,3.7,4.42,1.74,2.84,2.42,1.6,0.95,3.82,3.43,,,,,,
August,,,,4.32,2.26,2.57,2.2,2.54,2.19,1.12,3.34,4.28,6.01,4.85,0.69,4.34,0.58,3.45,2.37,6.45,3.88,3.38,2.81,4.99,,,,,,
September,,,,4.66,6.59,4.52,2.32,1.54,1.29,2.58,1.35,3.6,4.77,5.57,3.06,5.13,3.72,5.33,1.09,7.56,3.84,2.92,5.53,7.08,,,,,,
October,,,4.74,6.16,6.27,1.99,2.1,8.5,1.59,4.2,4.62,4.47,4.67,5.3,5.2,0.53,0.41,2.54,5.78,3.02,1.19,4.23,1.79,8.12,,,,,,
November,,,2.91,1.83,4.38,4.43,1.77,5.39,4.56,4.65,1.94,1.03,2.84,5.6,0.08,5.23,4.27,3.48,4.04,4.17,8.29,1.73,4.52,7.05,,,,,,
December,,,0.75,5.68,2.84,4.55,2.51,4.01,2.96,4.03,1.38,3.95,1.65,3.51,2.05,4.85,2.07,2.75,5.3,2.45,7.67,3.58,1.88,3.51,,,,,,
Total,,,,38.89,36.96,33.77,30.18,39.81,31.37,32.02,26.18,35.04,40.02,44.36,29.97,37.65,36.54,39.05,33.19,39.35,43.61,31.8,29.75,49.71,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR and elevation verified to CEDA Archive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed erroneous -999 transcriptions for 1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
