MIDHURST-KING-EDWARD-VII-SANATORIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU880250,Long,-0.74681,Lat,51.017653,Elevation,489,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,1.62,1.28,3.41,1.24,3.45,6.13,0.62,4.91,1.5,1.26,4.33,5.63,4.62,3.68,,,3,3.61,5.98,,,,
February,,,,,,,,,1.07,0.45,4.84,1.94,3.32,1.62,6.71,6.54,4.51,1.03,1.77,2.89,0.51,0.14,,5.63,0.63,5.8,2.22,,,,
March,,,,,,,,,3.14,4.94,1.63,1.68,5.18,3.64,5.82,0.55,3.73,2.05,1.07,5.2,2.82,1.27,,2,1.63,0.34,0.24,,,,
April,,,,,,,,,2.66,1.81,2.85,1.76,0.01,3.54,1.42,1.53,0.87,2.56,2.25,2.29,3.39,0.94,,4.16,,3.02,3.23,,,,
May,,,,,,,,,2.12,2.57,2.23,1.84,1.32,2.68,1.13,3.5,2.14,1.85,1.42,0.55,1.32,1.85,,2.44,4.67,4.37,2.6,,,,
June,,,,,,,,,1.29,2.71,3.65,2.16,3.54,0.65,0.77,1.18,1.84,2.96,0.91,0.66,1.83,0.06,,0.4,2.46,0.08,2.27,,,,
July,,,,,,,,,2.41,2.54,3.02,1.37,2.63,3.15,3.02,4.13,1.03,3.81,4.57,1.46,5.79,0.28,,0.87,5.94,3.39,1.82,,,,
August,,,,,,,,,5.63,2.82,3.11,0.92,7.17,2,1.31,2.36,3.32,6.89,1.14,3.18,1.7,2.87,,2.13,2.36,5.18,0.87,,,,
September,,,,,,,,,2.06,2.95,0.35,1.87,4.42,3.1,1.44,2.36,2.12,1.92,5.66,1.57,2.16,0.87,,1.61,4.72,2.63,0.93,,,,
October,,,,,,,,,2.92,8.71,4.64,4.78,4,5.01,2.07,4.18,6.26,4.22,1.34,0.42,2.61,0.63,,5.73,3.87,5.27,1.9,,,,
November,,,,,,,,,1.3,0.66,4.29,4.76,2.24,3.18,5.03,2.95,5.59,1.1,3.19,1.91,1.66,2.22,,1.68,3,1.94,7.22,,,,
December,,,,,,,,,3.68,5.15,5.69,10.41,4.99,1.9,11.22,7.99,3.54,1.3,2.67,6.26,3.78,2.14,,3.38,4.85,3.74,0.09,,,,
Total,,,,,,,,,29.9,36.59,39.71,34.73,42.27,36.6,40.56,42.18,36.45,30.95,30.32,32.02,32.19,16.95,,,,39.37,29.37,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 Jan estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924 Apr estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
