BLACKFORD (NEW SITE),,,,,,,,,,
Grid ref,NN898081,Long,-3.780202,Lat,56.252587,Elevation,500,ft,,
Station no,5533/51,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.2,3.35
February,,,,,,,,,1.45,6.95
March,,,,,,,,,3.9,4.25
April,,,,,,,,,3.7,4.26
May,,,,,,,,,0.8,3.86
June,,,,,,,,,1,2.1
July,,,,,,,,,4.1,2.8
August,,,,,,,,,1.4,5.1
September,,,,,,,,,0.8,2.75
October,,,,,,,,,4.7,7.55
November,,,,,,,,1.35,8.45,5.6
December,,,,,,,,8.05,9.1,6.7
Total,,,,,,,,,41.6,55.27
,,,,,,,,,,
Station no,5533/51,,,,,,,,,
Midas,15553,,,,,,,,,
Hyd stn,893381,,,,,,,,,
