BLACKFORD (NEW SITE),,,,,,,,,,,,
Grid ref,NN898081,Long,-3.780202,Lat,56.252587,,,,,,,
Station no,5533/51,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.20,3.35,,
February,,,,,,,,,1.45,6.95,,
March,,,,,,,,,3.90,4.25,,
April,,,,,,,,,3.70,4.26,,
May,,,,,,,,,0.80,3.86,,
June,,,,,,,,,1.00,2.10,,
July,,,,,,,,,4.10,2.80,,
August,,,,,,,,,1.40,5.10,,
September,,,,,,,,,0.80,2.75,,
October,,,,,,,,,4.70,7.55,,
November,,,,,,,,1.35,8.45,5.60,,
December,,,,,,,,8.05,9.10,6.70,,
Total,,,,,,,,,41.60,55.27,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.40,41.60,55.27,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
