BLACKFORD,,,,,,,,,,,,
Grid ref,NN898081,Long,-3.780202,Lat,56.252587,,,,,,,
Station no,5533/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.05,3.05,0.80,3.90,2.30,3.60,3.10,4.95,2.10,3.25,,
February,4.02,0.50,1.40,5.85,1.80,1.50,5.15,2.20,1.35,6.90,,
March,3.05,3.70,1.70,4.50,1.25,2.55,3.90,2.10,3.70,3.60,,
April,3.33,2.05,2.80,1.75,1.40,0.65,2.05,2.40,3.60,4.35,,
May,2.05,2.00,3.90,7.70,3.25,2.60,1.80,3.45,0.81,3.85,,
June,2.01,2.09,2.35,2.20,1.40,4.20,-999.00,5.00,1.00,1.90,,
July,3.70,2.00,5.45,2.90,1.30,3.20,4.70,7.30,4.00,2.60,,
August,6.05,4.05,2.89,3.95,1.30,8.70,4.35,3.60,1.30,5.00,,
September,3.75,2.00,2.70,6.00,2.50,5.80,1.95,5.35,0.80,2.65,,
October,0.75,4.05,2.60,7.15,4.00,3.65,3.65,4.05,4.50,7.25,,
November,8.05,2.07,8.45,9.00,2.35,1.50,2.40,1.35,8.35,5.45,,
December,5.05,4.05,6.75,6.85,8.60,8.75,5.25,7.85,9.00,6.60,,
Total,45.86,31.61,41.79,61.75,31.55,46.70,100.00,49.60,40.51,53.40,,
Calc annual,45.86,31.61,41.79,61.75,31.45,46.70,38.30,49.60,40.51,53.40,,
Difference,0.00,-0.00,0.00,0.00,0.10,0.00,61.70,0.00,-0.00,-0.00,,
