"BARNSLEY CHURCH STREET",,,,,,,,,,,,
Grid ref,SE344066,Long,-1.482214,Lat,53.554905,,,,,,,
Station no,RR1104,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.78,1.41,0.90,2.10,2.44,0.53,3.06,0.90,1.51,1.28,,
February,4.06,1.39,1.54,1.97,4.04,1.02,2.19,1.46,1.65,0.57,,
March,0.86,2.38,0.92,3.24,2.03,2.22,1.53,1.51,3.10,3.20,,
April,0.74,1.39,2.61,1.64,1.46,2.38,0.67,1.54,2.05,1.79,,
May,1.18,1.22,2.70,3.53,3.20,0.55,1.85,3.88,2.85,2.07,,
June,3.11,0.95,2.00,1.72,1.10,2.69,1.92,3.29,1.63,4.60,,
July,2.82,4.28,1.87,2.81,1.68,1.47,2.73,1.80,2.41,4.39,,
August,5.70,1.08,3.77,3.29,3.92,3.83,1.39,1.84,2.32,2.18,,
September,0.23,1.02,1.37,3.43,0.75,1.04,0.63,0.45,1.69,2.63,,
October,2.69,1.50,2.80,7.13,0.42,1.83,5.48,5.28,1.10,1.98,,
November,2.05,3.25,2.14,1.15,1.19,3.78,2.83,2.45,0.92,0.44,,
December,2.95,4.51,2.13,1.14,1.41,0.48,1.94,1.94,1.36,5.08,,
Total,29.17,24.38,24.75,33.15,23.64,21.82,26.22,26.34,22.59,30.21,,
Calc annual,29.17,24.38,24.75,33.15,23.64,21.82,26.22,26.34,22.59,30.21,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,,
