"TAIN, SPRINGFIELD",,,,,,,,,,,,,,,,,,,,
Grid ref,NH 775 825,Long,-4.0636,Lat,57.81496,Elevation,80,ft,,,,,,,,,,,,
Station no,RR384,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,2.65,1.77,2.75,3.7,0.96,2.79,2.2,0.77,1.61,0.47,2.55,1.7,4.05,1.48,2.77,2.13,,
February,,,1.63,0.83,0.19,0.74,3.77,3.8,0.7,0.96,0.84,2.87,2.02,1.13,1.04,2.42,1.24,1.4,,
March,,,1.3,0.95,1.98,1.16,3.76,1.93,2.09,2.94,0.91,2.12,3.3,1.41,1.35,1.43,1.05,0.85,,
April,,,1.12,0.94,1.62,1.03,2.35,1.35,0.32,1.25,1.46,1.14,2.26,1.03,0.47,0.68,0.98,1.47,,
May,,,2.25,2.87,2.4,1.15,0.77,2.49,2.92,2.6,0.56,2.29,1.78,1.41,2.03,2.43,2.64,0.52,,
June,,,5.61,1.4,1.24,2.11,2.05,3.07,2.19,2.28,1.8,2.27,3.39,1.25,0.92,1.32,0.64,0.46,,
July,,,3.07,4.46,3.49,3.58,1.61,2.75,1.25,4.95,3.1,4.05,3.58,4.32,1.93,1.11,2.04,2.76,,
August,,,2.22,2.9,5.46,2.14,1.13,4.67,4.1,3.83,0.57,1.78,1.54,3.56,2.2,1.05,1.08,1.66,,
September,,,3.69,4.37,2.3,2.14,3.32,1.04,1.96,0.94,1.86,1.91,3.56,2.9,0.55,2.94,2.14,1.57,,
October,,,3.5,4.09,2.98,2.05,2.95,3.96,2.38,1.41,2.02,2.58,1.43,2.32,2.55,1.92,1.24,,,
November,,,4.04,2.46,2.13,2.95,3.45,3.58,2.37,1.7,2.38,2.5,2.48,2.56,3.2,0.9,2.63,,,
December,,,1.83,2.8,1.53,2.05,4.29,2.31,2.3,1.54,2.1,1.49,3.62,3.04,2.07,1.45,2.02,,,
Total,,,32.91,29.84,28.07,24.8,30.41,33.74,24.78,25.17,19.21,25.47,31.51,26.63,22.36,19.13,20.47,,,
