"TAIN, ROSSHIRE",,,,,,,,,,
Grid ref,NH 775 825,Long,-4.0636,Lat,57.81496,Elevation,80,ft,,
Station no,RR384,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,3.45,,,,,,-999
February,,,,1.84,,,,,,-999
March,,,,1.79,,,,,,-999
April,,,,3.56,,,,,,-999
May,,,,1.8,,,,,,-999
June,,,,0.65,,,,,,-999
July,,,,1.6,,,,,,-999
August,,,,4.42,,,,,,-999
September,,,,6.21,,,,,,-999
October,,,,0.42,,,,,,-999
November,,,1.78,1.4,,,,,,-999
December,,,1.89,,,,,,,-999
Total,,,,,,,,,,-999
