"TAIN, SPRINGFIELD",,,,,,,,,,,,,,,,,,,,
Grid ref,NH 775 825,Long,-4.0636,Lat,57.81496,Elevation,80,ft,,,,,,,,,,,,
Station no,RR384,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,6.55,1.82,2.66,1.69,3.2,,,,,,,
February,,,,,,,,,4.47,3.03,1.66,2.68,2.3,,,,,,,
March,,,,,,,,,2.65,1.41,0.61,1.36,1.48,,,,,,,
April,,,,,,,,,2.41,2.07,1.24,4.17,,,,,,,,
May,,,,,,,,,2.21,1.62,1.27,0.29,,,,,,,,
June,,,,,,,,,1.56,1.48,1.2,2.02,,,,,,,,
July,,,,,,,,,0.3,1.33,0.78,5.29,,,,,,,,
August,,,,,,,,,6.47,1.52,2.02,2.15,,,,,,,,
September,,,,,,,,,4.31,3.95,2.41,4.14,,,,,,,,
October,,,,,,,,,2.69,4.55,2.6,2.7,,,,,,,,
November,,,,,,,,,1.92,3.29,2.76,2.03,3.95,,,,,,,
December,,,,,,,,,2.87,3.43,5.07,1.28,1.98,,,,,,,
Total,,,,,,,,,38.41,29.5,24.28,29.8,,,,,,,,
