DARLINGTON (WATERWORKS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ258139,Long,-1.602946,Lat,54.519743,Elevation,161,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3501/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.55,2.15,2.77,1.81,3.34,1.06,3.55,1.37,1.94,5.65,0.66,1.38,1.64,1.97,0.43,1.8,1.67,2.91,1.81,1.56,2.24,4.13
February,,,,,,,,,0.91,1.63,3.39,1.67,0.46,1.45,1.6,0.77,2.3,1.09,0.55,2.81,2.34,0.33,2.22,2.12,1.52,1.81,1.87,3.34,0.4,2.1
March,,,,,,,,,2.47,1.61,2.03,1.25,0.47,0.33,0.26,0.94,3.66,1.45,1.49,0.8,2.83,1.23,0.15,1.2,1.36,0.55,0.84,1.46,0.72,1.92
April,,,,,,,,,0.9,1.68,0.83,1.2,0.81,1.73,0.68,1.42,2.6,0.99,1.63,2.37,1.36,1.63,2.01,0.34,0.76,0.71,0.18,1.23,1.81,0.77
May,,,,,,,,,0.82,1.22,1.09,2.07,2.37,0.81,3.02,2.17,1.95,1.24,0.59,1.11,2.21,1.17,1.95,2.78,1.57,0.45,1.25,3,0.38,1.98
June,,,,,,,,,2.08,0.28,0.57,0.77,1.01,1.62,1.84,1.95,2,3.81,0.93,1.06,0.66,0.94,2.49,1.88,2.19,2.57,1.98,3.17,1.51,0.41
July,,,,,,,,,3.15,5.34,0.77,2.21,1.02,3.71,1.46,2.52,2.19,3.09,1.53,2.65,1.64,0.86,3.25,2.03,0.85,3.35,3.3,2.92,1.45,4.55
August,,,,,,,,,2.62,0.64,2.16,2.31,2.82,1.45,3.25,3.91,0.35,4.66,3.69,5.05,6.16,2.1,4.4,3.96,0.47,6.63,3.04,3.43,0.5,2.19
September,,,,,,,,,1.93,1.14,0.29,1.75,3.67,4.29,1.31,3.75,1.68,2.23,0.66,3.03,0.73,3.49,1.64,1.93,0.83,2.41,3.6,2.88,1.17,2.31
October,,,,,,,,,5.13,2.99,2.99,1.57,1.98,2.81,3.1,0.64,0.71,1.03,2.51,0.88,1.11,2.52,1.57,3.81,1.84,1.02,1.87,1.46,1.21,5.07
November,,,,,,,,,2.27,2.93,2.69,1.12,1.6,4.56,0.66,4.52,1.39,1.2,2.91,5.05,5.3,2.06,1.26,4.18,1.92,0.46,1.26,0.6,3.39,2.94
December,,,,,,,,,1.34,1.88,0.28,2.1,1.31,1.48,1.17,2.6,0.79,1.68,2.04,1.91,2.35,1.76,0.77,1.72,2.43,2.53,1.79,3.36,2.66,2.12
Total,,,,,,,,,28.17,23.49,19.86,19.83,20.86,25.3,21.9,26.56,21.56,28.12,19.19,28.1,28.33,20.06,22.14,27.75,17.41,25.4,22.79,28.41,17.44,30.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARLINGTON W WKS ,NZ2569514006,01/01/1928,Current ,,,,,,,,,,,,,,,,,,,,,,,,,,,
