ST-HARMONS-PEN-ITHON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO073813,Long,-3.3645854,Lat,52.421804,Elevation,1200,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4244/0/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6.52,3.62,3.28,5.05,8.07,5.77,4.05,6.33,4.11,10.22,3.35,0.99,3.82,4.75,1.19,3.48,3.94,5.29,3.18,4.33,5.87,7.09
February,,,,,,,,,4.16,3.5,5.27,1.21,3.67,2.39,6.45,7.51,,3.31,3.25,7.21,4.21,1.13,2.34,3.74,2.51,0.69,4.14,6.21,0.36,4.97
March,,,,,,,,,3.34,4.17,3.43,2.96,1.16,0.71,1.38,1.32,8.97,2.99,2.13,2.17,4.76,1.88,2.99,3.62,4.1,1.91,3.07,1.35,3.38,2.28
April,,,,,,,,,3.93,3.75,1.68,3.43,1.96,1.57,2.46,1.89,3.84,2.74,5.65,3.76,3.51,2.14,3.32,0.91,1.81,2.52,0.21,1.04,5.56,2.64
May,,,,,,,,,1.26,2.98,4.12,6.23,4.57,2.24,3.77,3.19,2.94,3.85,,1.36,2.6,3.42,1.79,3.66,5.33,0.83,2.5,3.1,4.31,1.56
June,,,,,,,,,2.4,1.13,1.63,0.88,3.52,2.33,4.42,5.52,2.74,4.42,,1.7,0.77,2.7,1.7,4.89,5.3,2.59,2.92,3.97,3.99,2.61
July,,,,,,,,,7.59,5.28,3.04,3.54,2.08,2.04,2.08,3,2.89,2.41,,3.97,1.7,2.43,4.68,2.52,3.16,3.53,4.19,5.36,3.74,4.9
August,,,,,,,,,1.86,0.89,5.9,4,4.64,3.3,4.58,8.06,0.45,,,6.6,4.94,4.6,3.57,5.88,1.46,5.26,5.23,3.58,0.97,5.27
September,,,,,,,,,0.95,2.85,3.08,3.01,5.94,4.75,2.9,7.08,2.73,4.65,,7.58,3.56,3.75,4.74,4.05,1.98,4.57,7.39,6.71,0.2,4.91
October,,,,,,,,,3.3,5.82,4,3.95,4.73,6.36,2.33,2.08,,2.6,,2.41,1.3,5,2.7,6.42,3.3,2.7,2.85,4.25,4.16,6.98
November,,,,,,,,,10.13,11.6,3.78,1.62,3.5,6.62,0.56,9.35,5.47,,,5.11,8.62,3.55,4.02,8.99,3.51,1.72,3.58,2.36,5.55,8.73
December,,,,,,,,,3.84,3.93,3.18,6.49,2.65,5.67,5.72,5.05,6.08,,,2.69,4.49,4.48,1.8,3.89,4.68,3.89,3.3,4.62,7.55,5.82
Total,,,,,,,,,49.28,49.52,42.39,42.37,46.49,43.75,40.7,60.38,,,,45.55,44.28,39.83,34.84,52.05,41.08,35.5,42.56,46.88,45.64,57.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from the 1950s record and is near Pen Ithon Hall and is consistent with the gauge moving 300 yards west, in Dec 1949, from a positon nearer the Hall, Hall was orignally 100 yards NW W. Altitudes match.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1941 noted as corrected for snow and has been left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
