CHELTENHAM-KEMERTON-LODGE (THE FRYERS),,,,,,,,,,
Grid ref,SO955221,Long,-2.0668047,Lat,51.897428,Elevation,223,ft,,
Station no,RR6300,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,0.87,,,,,,,
February,,,0.94,,,,,,,
March,,,1.99,,,,,,,
April,,,2.15,,,,,,,
May,,,2.22,,,,,,,
June,,,2.97,,,,,,,
July,,,1.32,,,,,,,
August,,,3.44,,,,,,,
September,,,1.64,,,,,,,
October,,,2.65,,,,,,,
November,,,2.13,,,,,,,
December,,,1.9,,,,,,,
Total,,,24.22,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Gauge moved 1903,,,,,,,,,,
