CHELTENHAM-KEMERTON-LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO941213,Long,-2.0871368,Lat,51.890222,Elevation,211,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,3.15,2.51,1.08,3.87,1,0.91,0.64,2.59,1.05,3,4.06,0.91,3.69,1.29,1.45,2.54,3.62,3.92,2.68,3.07,1.69,,,,,,,
February,,,,1.24,3.54,0.93,1.38,1,0.78,0.46,3.24,1.22,1.85,1,2.1,4.68,4.54,1.07,1.5,2.8,0.86,0.29,3.19,5.87,,,,,,,
March,,,,3.3,1.35,3.18,0.98,0.47,2.99,3.35,0.68,1.72,4.75,3.04,2.73,1.11,4.26,2.35,1.24,4.55,3.58,1.46,2.14,2.06,,,,,,,
April,,,,1.81,0.95,2.36,0.6,2.8,2.02,1.47,2.21,0.72,0.15,3.07,0.99,1.51,1.35,1.71,2.44,2.5,3.82,1.04,2.92,2.63,,,,,,,
May,,,,4.52,2.46,0.24,1.9,2.53,1.63,0.99,1.31,0.58,1.89,1.96,1.7,2.02,2.61,3.1,1.52,1.23,1.47,1.74,0.7,1.66,,,,,,,
June,,,,3.55,0.89,3.9,3.09,2.04,0.77,3.1,3.02,1.9,6.21,0.87,3.18,1.32,1.89,2.39,0.95,1.44,3.17,0.77,0.93,0.5,,,,,,,
July,,,,4.35,2.53,0.8,1.05,3.91,1.84,2.16,2.18,0.38,4.97,1.25,3.06,3.48,1.68,2.36,3.31,3.63,5.08,0.33,4.23,1.49,,,,,,,
August,,,,2.54,2.17,4.61,1.2,1.82,3.62,1.87,4.4,1.62,7.43,1.29,1.43,4.08,3.33,5.51,0.87,2.42,1.23,2.54,4.46,2.52,,,,,,,
September,,,,2.12,2.03,1.38,0.72,0.45,1.56,3.2,0.72,1.47,0.65,2.69,1.01,0.99,1.09,2.03,5.43,1.69,2.6,1.77,2.04,2.4,,,,,,,
October,,,,6.26,0.38,1.24,3.71,6.06,1.18,3.43,2.77,1.92,2.45,3.52,1.93,3.06,4.45,3.54,1.85,1.96,1.85,1.44,0.92,5.53,,,,,,,
November,,,,1.34,1.45,2.94,2.58,1.38,0.96,0.94,3.68,2.63,1.46,2.42,3.07,1.83,3.7,1.04,2.09,1.38,0.68,2.01,1.27,1.47,,,,,,,
December,,,,1.19,1.72,0.54,1.62,3.3,2.17,3.25,4.24,6.2,2.99,1.11,6.03,4.85,2.89,0.9,2.46,3.39,2.32,1.46,4.18,2.56,,,,,,,
Total,,,,35.37,21.98,23.2,22.7,26.76,20.43,24.86,31.04,21.41,37.8,26.28,28.14,32.62,33.08,27.45,26.2,30.61,30.58,17.53,30.05,30.38,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved 1903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
