"TINTO HILLS (LOCH LYOCH RESERVOIR)",,,,,,,,,,,,
Grid ref,NS932357,Long,-3.696693,Lat,55.603156,,,,,,,
Station no,5191/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.20,1.75,1.43,3.75,2.30,1.75,4.04,2.75,0.83,2.96,,
February,2.78,0.40,1.30,2.67,0.97,1.10,3.35,2.05,1.13,3.64,,
March,2.26,0.41,0.45,1.75,1.31,1.55,2.58,1.96,1.96,1.86,,
April,2.79,3.53,2.19,0.77,0.90,0.75,1.73,1.62,2.65,3.10,,
May,2.08,1.69,2.32,4.43,2.33,2.37,1.76,2.87,1.67,1.91,,
June,1.44,3.14,2.15,2.48,1.50,2.91,1.30,2.75,3.68,1.59,,
July,2.82,1.87,4.50,3.66,2.05,4.48,4.14,6.54,4.04,3.19,,
August,5.00,4.59,1.83,4.40,1.84,7.56,3.72,3.35,0.65,3.77,,
September,2.54,2.10,3.03,4.10,2.72,3.90,2.73,3.83,0.92,2.80,,
October,-999.00,2.32,2.39,7.44,2.36,3.02,3.30,2.04,4.62,2.16,,
November,5.91,2.82,4.63,7.18,1.33,0.85,2.08,1.50,5.95,5.26,,
December,4.46,2.94,4.37,4.45,4.67,4.04,3.17,4.30,4.06,5.30,,
Total,36.10,27.56,30.59,47.08,24.28,34.28,33.90,35.56,32.16,37.54,,
Calc annual,35.28,27.56,30.59,47.08,24.28,34.28,33.90,35.56,32.16,37.54,,
Difference,0.82,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
