ILDERTON LILBURN COTTAGE - NEW GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,NU021241,Long,-1.968305,Lat,55.510662,Elevation,340,ft,,,,,,,,,,,,
Station no,RR4816,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,1.85,0.79,1.82,1.86,1.83,1.67,2.83,3.36,1.87,2.21,2.16,3.29,2.76,3.64
February,,,,,,,1,1.57,1.45,3.22,2.57,1.07,2.51,0.94,2.53,3.85,3.13,1.32,1.06,1.98
March,,,,,,,1.69,1.4,3.94,5.82,0.73,2.37,2.09,3.86,2.97,1.83,3.74,1.31,0.75,2.47
April,,,,,,,1.01,3.09,2.32,3.52,1.86,1.38,0.19,2.95,0.66,0.59,1.82,3.03,1.17,1.85
May,,,,,,,7.04,3.82,1.43,1.55,1.88,0.67,1.83,3.18,1.54,1.45,3.36,1.92,2.02,0.52
June,,,,,,,1.69,2.94,0.35,2.22,1.67,5.44,5.22,1.62,3.8,0.92,2.76,1.13,0.44,1.06
July,,,,,,,1.5,2.39,2.14,1.77,2.73,0.81,2.81,1.08,1.69,5.15,4.73,1.06,3.59,1.01
August,,,,,,,4.5,2.1,1.49,4.16,3.85,1.77,5.16,1.97,2.12,2.77,4,7.53,1.19,2.03
September,,,,,,,0.37,0.38,1.54,2.16,0.99,1.75,2.78,2.04,1.14,1.94,2.52,1.12,5.39,1.3
October,,,,,,,6.26,7.46,3.17,3.57,3.18,3.94,3.65,1.79,2.49,1.91,3.58,3.26,3.44,4.09
November,,,,,,,2.67,2.03,1.17,1.05,3.92,3.99,1.94,1.76,4.5,2.41,4.6,2.11,1.35,5.57
December,,,,,,,2.01,3.24,1.19,3.12,2.19,3.5,1.48,1.16,5.53,5.15,3.36,1.76,2.15,4.35
Total,,,,,,,31.59,31.21,22.01,34.02,27.4,28.36,32.49,25.71,30.84,30.18,39.76,28.84,25.31,29.87
