MAIDSTONE-MOTE-PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ783549,Long,0.55431607,Lat,51.265366,Elevation,175,ft,,,,,,,,,,,,
Station no,RR6922,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,2.07,1.9,3.56,1.24,0.64,0.68,2.38,,0.5,1.62,1.86,,,,,
February,,,,,1.9,3.26,0.56,0.38,1.48,2.18,1.1,,1.46,3.54,1.58,,,,,
March,,,,,1.69,1.34,1.08,1.66,2.82,1.8,2.46,,1.98,0.54,1.2,,,,,
April,,,,,1.38,2.16,1.98,1.98,1.42,2.98,3.14,,1.66,0.04,1.88,,,,,
May,,,,,0.4,3.06,2.04,1.72,0.78,1.8,1.22,,0.26,0.8,1.82,,,,,
June,,,,,2.04,1.26,0.26,1.26,2.98,1.6,1.52,,2.72,0.78,2.5,,,,,
July,,,,,2.46,0.16,3.2,0.86,2.98,2.3,4.46,,2,1.72,3.34,,,,,
August,,,,,0.72,0.86,2.74,1.62,4.01,2.56,2.53,,3.18,0.64,1.76,,,,,
September,,,,,3.6,3.64,1.52,2.04,0.8,2.24,1.06,,1.6,2.02,2.56,,,,,
October,,,,,1.66,4.34,1.89,1.82,1.54,5.14,0.72,,6,3.38,4.2,,,,,
November,,,,,1.04,2.7,3.1,4.76,3.24,1.04,1.96,,2.72,2.76,3.5,,,,,
December,,,,,3.04,1.04,4.28,1.68,1.28,1.5,1.36,,1.8,1.87,1.24,,,,,
Total,,,,,22,25.72,26.21,21.02,23.97,25.82,23.91,,25.88,19.71,27.44,,,,,
