"SHAWS W.W. LOCH THOM",,,,,,,,,,,,
Grid ref,NS256724,Long,-4.791952,Lat,55.912993,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,9.91,4.30,6.83,7.82,7.96,4.75,7.96,5.28,9.61,8.60,,
February,4.29,2.34,2.10,10.24,6.20,5.49,4.80,5.21,5.15,4.33,,
March,0.54,2.92,5.58,10.38,4.09,6.66,5.75,6.30,7.09,2.98,,
April,4.13,4.77,3.06,1.98,7.60,5.01,2.15,4.92,2.55,6.18,,
May,4.91,2.08,3.25,3.87,4.10,3.01,7.61,7.56,3.68,4.51,,
June,4.11,3.99,1.90,2.93,3.44,1.75,2.03,6.11,4.32,3.42,,
July,4.79,3.28,5.09,5.51,3.59,4.61,4.76,3.13,6.14,6.57,,
August,5.91,7.03,4.52,9.02,6.46,6.43,5.68,8.17,5.72,4.48,,
September,5.91,5.98,5.29,5.25,7.04,3.66,4.16,2.37,11.96,2.94,,
October,9.03,6.59,3.92,11.84,4.34,5.16,9.42,8.07,1.86,11.27,,
November,7.30,6.99,5.87,5.44,5.06,7.62,7.10,6.40,6.31,4.92,,
December,10.81,6.49,6.68,7.48,5.91,6.19,6.40,9.60,9.06,9.62,,
Total,71.64,56.76,54.09,81.76,65.79,60.34,67.82,73.12,73.45,69.82,,
Calc annual,71.64,56.76,54.09,81.76,65.79,60.34,67.82,73.12,73.45,69.82,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
