GREENOCK WW (LOCH THOM),,,,,,,,,,,,,,,,
Grid ref,NS256724,Long,-4.791952,Lat,55.912993,Elevation,643,ft,,,,,,,,
Station no,5311,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875
January,,,,,,,,,5.6,8.2,6,4.8,12,11.1,8.3,10.4
February,,,,,,,,,10.9,8.4,5.9,8.8,7.6,1.5,2.5,2.6
March,,,,,,,,,8.3,1.5,1.7,5.7,6.4,3.3,6.9,2.4
April,,,,,,,,,4.1,3,3,5.6,2.2,0.5,3.7,2.5
May,,,,,,,,,4.5,0.9,6.7,1.5,4,3.8,2.4,5.1
June,,,,,,,,,3.2,2.2,2.5,2.6,8.7,4,2.3,4.2
July,,,,,,,,,1.5,4,3.1,4.5,4.8,6.8,3.7,2.8
August,,,,,,,,,6.9,1.2,2,5.2,5.4,7.7,6.5,
September,,,,,,,,,2.5,12.2,5,3.6,12,8.6,9.9,
October,,,,,,,,,6.4,3,7.5,6.9,6.1,9.9,14,
November,,,,,,,,,4.6,9.5,3,5.1,10.9,5.1,6.8,
December,,,,,,,,,9.7,10.7,4.4,8.4,8.2,6.9,2.3,
Total,,,,,,,,,68.2,64.8,50.8,62.7,88.3,69.2,69.3,
,,,,,,,,,,,,,,,,
1864 and 1865 crossed out on pdf,,,,,,,,,,,,,,,,
Illegible comment,,,,,,,,,,,,,,,,
