Rainfall at,GREENOCK SHAWS W. W. NO. 1
,
Station no,5311,
,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,5.30,5.60,,,5.60,8.20,
February,,,,,5.60,4.60,,,10.90,8.40,
March,,,,,5.60,2.90,,,8.30,1.50,
April,,,,,2.50,0.60,,,4.10,3.00,
May,,,,,1.70,3.50,,,4.50,0.90,
June,,,,,3.00,1.40,,,3.20,2.20,
July,,,,,2.50,2.50,,,1.50,4.00,
August,,,,,1.50,6.10,,,6.90,1.20,
September,,,,,3.70,1.90,,,2.50,12.20,
October,,,,,3.80,6.90,,,6.40,3.00,
November,,,,,4.50,4.60,,,4.60,9.50,
December,,,,,4.60,7.60,,,9.70,10.70,
Total,,,,,44.30,48.20,,,68.20,64.80,
Calc annual,0.00,0.00,0.00,0.00,44.30,48.20,0.00,0.00,68.20,64.80,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,0.00,0.00,
