WESTWOOD-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ425541,Long,0.04162,Lat,51.26858,Elevation,418,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,70/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.13,2.47,2.01,2.65,1.33,5.18,5.67,4.07,5.05,3.44,2.66,4.15,6.18,2.11,6.16,2.57,,4.23,1.34,1.15,3.5,2.38,1.35,1.9,3.14,4.4,2.32,3.34,2.97,2.81
February,2.64,0.97,2.11,0.27,3.92,2.06,4.99,1,1.51,2.37,3.06,1.18,2.09,1.17,2.07,3.57,,2.96,1.21,5.05,6.83,1,1.89,2.65,2.03,0.78,4.42,2.27,0.07,2.25
March,0.35,1.63,3.69,2.35,0.31,1.37,3.74,0.49,1.92,2.99,3.54,2.32,0.38,0.04,1.29,2.79,7.2,0.77,1.21,1.2,4.15,3.79,0.43,2.54,1.45,1.09,1.57,1.64,1.88,2.13
April,4.95,2.43,0.84,2.74,3.33,2.71,3.31,0.43,2.74,1.7,1.87,1.75,1.24,1.74,1.19,3.31,1.9,2.13,1.91,4.64,3.18,1.63,2.51,0.31,0.3,1.78,0.22,1.54,2.14,0.81
May,3.02,4.01,1.87,0.59,1.76,0.44,2.16,2.59,1.69,1.59,2.13,3.77,2.68,0.7,2.75,4.54,2.12,1.94,1.97,1.18,2.42,1.45,1.82,2.84,4.34,0.56,1.42,1.67,0.96,1.72
June,1.34,1.17,1.48,1.43,2.9,3.05,2.29,0.5,0.76,0.48,2.01,0.11,1.44,2.05,1.87,2.75,3.19,4.11,0.99,2.27,1.52,1.82,1.96,3.68,1.95,3.38,1.52,4.41,1.01,1.41
July,2.89,2.14,2.12,1.36,0.8,4.06,0.71,1.65,2.29,2.94,2.36,2.17,2.37,1.92,3.64,2.5,2.27,1.96,0.69,2.63,2.43,0.77,3.79,3.47,0.71,4.48,3.44,2.09,1.13,2.91
August,4.12,1.06,0.73,1.89,3.69,0.53,2.26,1.67,2.85,0.1,4.7,3.86,1.54,3.38,2.43,5.12,0.24,5.73,1.33,2.28,5.48,4.22,2.03,3.45,0.91,2.72,2.89,3.53,0.98,3.65
September,1.78,1.94,2.99,1.98,3.99,2.06,1.99,2.38,1.19,1.48,0.76,2.02,2.65,3.94,1.77,3.65,1.19,2.1,0.98,3.17,2.71,3.13,3.89,2.28,2.54,2.9,2.9,6,0.15,3.95
October,0.73,6.8,1.9,2.36,4.04,2.68,3.17,3.33,7.48,3.46,1.25,4.4,3.47,5.23,3.17,1.34,0.34,2,9.26,0.18,1.51,3.01,4.5,2.49,5.15,1.66,1.4,3.64,3.37,7.24
November,4.04,1.33,0.97,3.58,6.24,4.53,1.91,3.47,6.01,8.69,3.29,2.08,2.25,5.14,1.13,5.32,1.42,2.11,2.81,6.38,5.34,4.76,1.72,5.41,1.14,0.92,3.23,1.92,2.86,5.22
December,0.78,0.72,0.63,6.77,3.92,2.5,5.04,4.49,1.79,2.52,3.09,3.29,2.05,2.24,3.88,3.39,3.23,4.64,2.32,2.32,2.8,3.35,0.84,1.58,2.67,3.88,2.58,3.72,5.47,3.97
Total,28.77,26.67,21.34,27.97,36.23,31.17,37.24,26.07,35.28,31.76,30.72,31.1,28.34,29.66,31.35,40.85,,34.68,26.02,32.45,41.87,31.31,26.73,32.6,26.33,28.55,27.91,35.77,22.99,38.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR doesn't have 1930 record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 Jan 1 Gauge moved 180ft E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Jan Feb Estimated from maps and nearby sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Jan 18 Gauge sound Measure certified Site o/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Feb Gauge moved 150ft SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Still in use 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS has this station starting in 1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
