"WESTWOOD (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TQ425541,Long,0.041244,Lat,51.268245,,,,,,,
Station no,70/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.50,2.38,1.35,1.90,3.14,4.40,2.32,3.34,2.97,2.81,,
February,6.83,1.00,1.89,2.65,2.03,0.78,4.42,2.27,0.07,2.25,,
March,4.15,3.79,0.43,2.54,1.45,1.09,1.57,1.64,1.88,2.13,,
April,3.18,1.63,2.51,0.31,0.30,1.78,0.22,1.54,2.14,0.81,,
May,2.42,1.45,1.82,2.84,4.34,0.56,1.42,1.67,0.96,1.72,,
June,1.52,1.82,1.96,3.68,1.95,3.38,1.52,4.41,1.01,1.41,,
July,2.43,0.77,3.79,3.47,0.71,4.48,3.44,2.09,1.13,2.91,,
August,5.48,4.22,2.03,3.45,0.91,2.72,2.89,3.53,0.98,3.65,,
September,2.71,3.13,3.89,2.28,2.54,2.90,2.90,6.00,0.15,3.95,,
October,1.51,3.01,4.50,2.49,5.15,1.66,1.40,3.64,3.37,7.24,,
November,5.34,4.76,1.72,5.41,1.14,0.92,3.23,1.92,2.86,5.22,,
December,2.80,3.35,0.84,1.58,2.67,3.88,2.58,3.72,5.47,3.97,,
Total,41.87,31.31,26.73,32.60,26.33,28.55,27.91,35.77,22.99,38.07,,
Calc annual,41.87,31.31,26.73,32.60,26.33,28.55,27.91,35.77,22.99,38.07,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
