DROXFORD-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SU607181,Long,-1.13664,Lat,50.95971,Elevation,180,ft,,,,,,,,,,,,
Station no,RR4888,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,2.2,5.09,1.21,7.17,1.9,4.06,0.64,1.89,1.95,3.23,4.13,2.68,,,,
February,,,,,2.72,2.74,3.76,1.51,2.91,5,3.59,3.21,2,4.85,2.44,4.12,,,,
March,,,,,0.72,0.93,3.26,3.13,1.59,0.77,1,2.86,0.78,1.06,3.04,2.81,,,,
April,,,,,3.4,1.18,2.35,2.62,2.79,3.18,2.79,0.69,3.66,1.57,1.41,1.91,,,,
May,,,,,0.84,1.87,0.39,2.73,4.81,2.79,0.25,1.23,1.78,2.23,1.14,3.99,,,,
June,,,,,1.84,3.35,1.67,0.47,1.9,5.89,1.97,2.37,3.59,1.76,1.64,1.52,,,,
July,,,,,1.23,5.52,1.06,4.25,2.11,4.54,3.82,1.7,3.75,4.02,3.59,0.33,,,,
August,,,,,2.59,2.24,3.35,3.32,4.19,6.95,1.17,5.15,1.96,1.47,1.48,0.89,,,,
September,,,,,3.16,1.57,4.63,1.7,1.82,4.33,5.57,2.19,2.27,4.56,2.69,5.71,,,,
October,,,,,6.51,5.27,1.83,3.07,2.9,1.09,4.67,1.84,6.91,3.31,0.83,4.43,,,,
November,,,,,2.66,4.8,4.53,7.31,3.4,0.68,3.38,5.17,4.32,4.81,1.61,3.16,,,,
December,,,,,3,1.39,7.47,2.01,2.02,0.83,3.85,3.43,3.13,1.02,4,1.78,,,,
Total,,,,,30.87,35.95,35.51,39.29,32.34,40.11,32.7,31.73,36.1,33.89,28,33.33,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge 8 ft above ground,,,,,,,,,,,,,,,,,,,,
