"LOCH NESS (FOYERS, STRONELAIRG)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH535070,Long,-4.421942,Lat,57.130487,Elevation,1250,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,11.66,12.54,11.41,1.86,2.59,3.99,6.81,,,,,,,,,,,,,,10.47,6.87,2.53,6.26
February,,,,,,,9.62,5.94,9.75,3.06,8.4,3.62,9.49,,,,,,,,,,,,,,4.98,2.84,3.11,4.87
March,,,,,,,3.14,7.45,8.57,5.44,2.58,2.17,6.64,,,,,,,,,,,,,,5.36,1.19,2.82,1.33
April,,,,,,,1.23,1.22,4.38,4.53,1.64,1.81,7.37,,,,,,,,,,,,,,0.91,3.03,5.61,6.36
May,,,,,,,2.86,3.41,1.58,2.32,2.23,3.52,5.79,,,,,,,,,,,,,,2.09,6.1,1.83,1.34
June,,,,,,1.82,3.44,5.86,3.7,2.61,0.83,1.97,4.8,,,,,,,,,,,,,,2.77,1.77,2.97,3.44
July,,,,,,5.38,3.9,5.22,7.72,10.2,2.68,5.64,3.23,,,,,,,,,,,,,,6.32,4.51,2.75,2.54
August,,,,,,2.82,5.16,3.46,2.72,2.87,6.11,6.49,3.8,,,,,,,,,,,,,,8.59,5.25,3.1,6.13
September,,,,,,4.05,4.37,5.09,2.7,4.11,1.54,7.07,5.17,,,,,,,,,,,,,,3.36,3.84,0.66,2.67
October,,,,,,8.07,3.17,14.71,4.01,6.55,6.67,10.83,7.99,,,,,,,,,,,,,,6.1,7.17,7.09,2.91
November,,,,,,2.65,0.81,12.54,9.06,10.31,7.59,2.94,6.29,,,,,,,,,,,,,4.27,1.61,0.97,8.03,4.37
December,,,,,,10.05,2.36,7.39,4.71,8.2,8.23,10.38,,,,,,,,,,,,,,11.56,6.29,6.26,7.58,6.76
Total,,,,,,48.6,51.72,84.83,70.31,62.06,51.09,60.43,,,,,,,,,,,,,,,58.85,49.8,48.08,48.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Gauge moved from Killin Lodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Dec and total removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
