KINLOCHEWE,,,,,,,,,,,,
Grid ref,NH029619,Long,-5.300506,Lat,57.603919,,,,,,,
Station no,RR6099,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,9.55,15.14,8.48,11.84,16.16,10.14,8.04,9.81,,
February,,,3.22,14.98,3.51,12.85,8.68,10.77,9.53,5.49,,
March,,,10.27,10.65,3.08,6.72,9.56,10.54,5.72,3.00,,
April,,,2.78,6.68,12.40,3.78,6.68,4.82,3.69,3.48,,
May,,,4.58,2.77,5.40,3.18,4.49,3.14,3.36,4.26,,
June,,,1.94,4.27,6.10,2.80,2.28,7.34,5.02,1.08,,
July,,,3.12,6.60,1.94,4.71,7.47,4.36,1.96,4.92,,
August,,,4.20,11.45,6.81,5.69,5.35,8.20,6.06,6.00,,
September,,,5.21,5.35,5.94,8.40,5.05,3.55,9.49,2.84,,
October,,,8.71,11.04,6.61,8.43,7.00,2.81,2.81,12.28,,
November,,,3.02,9.81,7.98,5.70,9.05,7.55,9.10,9.18,,
December,,,10.97,4.55,10.03,7.93,10.65,7.45,6.85,6.00,,
Total,,,67.57,103.29,78.28,82.03,92.42,80.67,71.63,68.34,,
Calc annual,0.00,0.00,67.57,103.29,78.28,82.03,92.42,80.67,71.63,68.34,,
Difference,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
