KINLOCHEWE,,,,,,,,,,,,,,,,,,,,
Grid ref,NH029619,Long,-5.300506,Lat,57.603919,Elevation,85,ft,,,,,,,,,,,,
Station no,RR6099,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,9.55,15.14,8.48,11.84,16.16,10.14,8.04,9.81,10.54,7.88,,,,,,,,
February,,,3.22,14.98,3.51,12.85,8.68,10.77,9.53,5.49,7.86,11.04,,,,,,,,
March,,,10.27,10.65,3.08,6.72,9.56,10.54,5.72,3,4.92,4.61,,,,,,,,
April,,,2.78,6.68,12.4,3.78,6.68,4.82,3.69,3.48,8.05,6.8,,,,,,,,
May,,,4.58,2.77,5.4,3.18,4.49,3.14,3.36,4.26,5.08,3.51,,,,,,,,
June,,,1.94,4.27,6.1,2.8,2.28,7.34,5.02,1.08,2.79,5.01,,,,,,,,
July,,,3.12,6.6,1.94,4.71,7.47,4.36,1.96,4.92,3.12,6.57,,,,,,,,
August,,,4.2,11.45,6.81,5.69,5.35,8.2,6.06,6,4.66,,,,,,,,,
September,,,5.21,5.35,5.94,8.4,5.05,3.55,9.49,2.84,1.94,,,,,,,,,
October,,,8.71,11.04,6.61,8.43,7,2.81,2.81,12.28,2.98,,,,,,,,,
November,,,3.02,9.81,7.98,5.7,9.05,7.55,9.1,9.18,7.72,,,,,,,,,
December,,,10.97,4.55,10.03,7.93,10.65,7.45,6.85,6,7.19,,,,,,,,,
Total,,,67.57,103.29,78.28,82.03,92.42,80.67,71.63,68.34,66.85,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR6099,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
