DONCASTER-10-AVENUE-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE584041,Long,-1.1204445,Lat,53.530321,Elevation,60,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,0.72,1.03,0.68,2.03,1.06,3.83,3.1,0.98,2.06,0.53,2.35,1.49,3.34,3,2.01,3.08,1.13,1.66,1.43,2.41,1.57,3.86,2.09,3.44,1.78,1.12,2.12,1.67,,,,,,
February,,,,,,,,1.03,1.75,0.44,1.67,0.77,1.16,0.51,0.97,2.67,3.52,0.55,1.57,2.55,2.42,0.19,2.92,4.6,0.77,2.79,1.95,1.47,2.07,0.73,0.36,2.03,0.45,3.91,1.13,,,,,,
March,,,,,,,,1.19,2.86,2.75,0.47,1.23,2.63,1.93,1.41,1.07,3.93,1.71,0.86,3.95,2.13,0.58,1.54,1.46,1.21,0.58,0.75,1.68,2.61,0.06,2.81,0.62,1.7,3.3,1.85,,,,,,
April,,,,,,,,1.95,2.29,1.39,1.95,0.88,0.2,2.25,0.43,0.68,1.1,1.75,1.14,1.64,3.71,1.49,2.93,1.74,1.51,2.14,1.5,1.99,0.87,0.72,2.47,3.29,1.92,0.88,2.57,,,,,,
May,,,,,,,,3.47,2.14,1.69,1.94,0.52,3.31,1.53,1.4,1.45,2.39,2.03,2.62,1.44,3.85,1.57,1.01,3.29,3.17,3.68,1.91,1.91,2.43,1.16,1.47,2.57,7.4,3,0.96,,,,,,
June,,,,,,,,3.13,1.21,2.91,2.52,3.63,3.65,0.51,1.5,0.68,1.87,1.17,0.87,0.93,1.82,0.16,0.95,1.22,1.79,0.18,3.14,2.42,2.6,1.05,2.14,6.31,1.12,2.66,1.77,,,,,,
July,,,,,,,,2.73,3.31,3.58,3.82,0.26,4.03,0.61,3.85,4.58,1.02,1.02,3.39,3.34,4.24,0.55,3.6,3.65,2.51,1.06,1.36,3.07,0.57,1.62,6.29,5.18,3.49,1.45,1.92,,,,,,
August,,,,,,,,1.39,1.93,2.82,3,2.09,5.18,1.08,2.25,2.12,1.68,4.66,2.18,3.04,0.93,4.34,6.48,2.34,4.35,2.21,3.63,6.32,2.82,1.9,2.76,5.24,2.41,0.42,1.32,,,,,,
September,,,,,,,,0.56,1.52,1.75,0.24,2.13,1.14,6.32,0.93,0.65,2.19,0.66,4.34,1.88,1.37,0.85,2.36,2.39,2.47,2.8,0.81,4.55,0.33,1.06,4.54,3.1,1.53,2,1.46,,,,,,
October,,,,,,,,4.89,0.64,1.97,2.15,2.33,2.38,2.58,2.39,0.93,1.56,2.7,1.6,3,2,1.78,1.01,1.22,3.63,2.51,2.36,1.69,4.61,2.9,2.18,0.83,3,5.57,1.11,,,,,,
November,,,,,,,,2.18,0.75,0.21,3.19,2.88,2.23,1.89,2.37,2.26,3.09,1.23,1.39,1.91,1.23,2.03,0.9,2.45,1.67,1.79,3.21,2.74,2.65,4.49,3.26,3.16,1.16,2.02,2.53,,,,,,
December,,,,,,,,2.57,1.5,4.76,3.17,3.94,1.98,0.98,4.61,5.68,2.03,1.23,2.97,3.62,2.3,2.2,3.47,2.75,2.15,2.27,0.7,2.67,1.78,4.49,1.82,1.02,0.94,0.39,3.79,,,,,,
Total,,,,,,,,25.81,20.93,24.95,26.15,21.72,31.72,23.29,23.09,24.83,24.91,21.06,24.42,30.64,29,17.75,30.25,28.24,26.89,23.44,23.73,32.08,27.2,22.27,33.54,35.13,26.24,27.72,22.08,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is 10 Avenue Road. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
