DONCASTER AVENUE ROAD,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3160,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.00,2.01,3.08,1.13,1.66,1.43,2.41,1.57,3.86,2.09,3.44,
February,2.42,0.19,2.92,4.60,0.77,2.79,1.95,1.47,2.07,0.73,0.36,
March,2.13,0.58,1.54,1.46,1.21,0.58,0.75,1.68,2.61,0.06,2.81,
April,3.71,1.49,2.93,1.74,1.51,2.14,1.50,1.99,0.87,0.72,2.47,
May,3.85,1.57,1.01,3.29,3.17,3.68,1.91,1.91,2.43,1.16,1.47,
June,1.82,0.16,0.95,1.22,1.79,0.18,3.14,2.42,2.60,1.05,2.14,
July,4.24,0.55,3.60,3.65,2.51,1.06,1.36,3.07,0.57,1.62,6.29,
August,0.93,4.34,6.48,2.34,4.35,2.21,3.63,6.32,2.82,1.90,2.76,
September,1.37,0.85,2.36,2.39,2.47,2.80,0.81,4.55,0.33,1.06,4.54,
October,2.00,1.78,1.01,1.22,3.63,2.51,2.36,1.69,4.61,2.90,2.18,
November,1.23,2.03,0.90,2.45,1.67,1.79,3.21,2.74,2.65,4.49,3.26,
December,2.30,2.20,3.47,2.75,2.15,2.27,0.70,2.67,1.78,4.49,1.82,
Total,29.00,17.75,30.25,28.24,26.89,23.44,23.73,32.08,27.20,22.27,33.54,
Calc annual,29.00,17.75,30.25,28.24,26.89,23.44,23.73,32.08,27.20,22.27,33.54,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,
