"DONCASTER, 10 AVENUE ROAD",,,,,,,,,,,,
Grid ref,SE584041,Long,-1.120445,Lat,53.530321,,,,,,,
Station no,3160,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.72,1.03,0.68,,
February,,,,,,,,1.03,1.75,0.44,,
March,,,,,,,,1.19,2.86,2.75,,
April,,,,,,,,1.95,2.29,1.39,,
May,,,,,,,,3.47,2.14,1.69,,
June,,,,,,,,3.13,1.21,2.91,,
July,,,,,,,,2.73,3.31,3.58,,
August,,,,,,,,1.39,1.93,2.82,,
September,,,,,,,,0.56,1.52,1.75,,
October,,,,,,,,4.89,0.64,1.97,,
November,,,,,,,,2.18,0.75,0.21,,
December,,,,,,,,2.57,1.50,4.76,,
Total,,,,,,,,25.81,20.93,24.95,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.81,20.93,24.95,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
