BICESTER-LAUNTON-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SP605227,Long,-1.1221159,Lat,51.899569,Elevation,225,ft,,,,,,,,,,,,
Station no,RR8115,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,1.29,,1.4,3.3,5.6,0.92,2.2,,,,
February,,,,,,,,,,0,,1.6,2.04,1.6,3.7,3.1,,,,
March,,,,,,,,,,1.5,,2,3.8,2.8,5,1.5,,,,
April,,,,,,,,,,1.4,,1.6,0.27,3.6,1.08,1.09,,,,
May,,,,,,,,,,2.04,,1.7,2.5,2.8,1.3,1.8,,,,
June,,,,,,,,,,3.41,,1.2,3.3,0.81,1,0.84,,,,
July,,,,,,,,,,2.29,,0.18,4.1,0.81,1.7,5.3,,,,
August,,,,,,,,,,2.13,,0.5,8.9,0.55,0.4,2.08,,,,
September,,,,,,,,,,2.07,,1.95,1.6,1.03,1.4,3.3,,,,
October,,,,,,,,,,3.23,,2.2,3.2,4.3,3.04,1.4,,,,
November,,,,,,,,,,0.86,,1.3,2.18,2.7,2.2,3.2,,,,
December,,,,,,,,,,2.05,,5.2,4.9,0.85,8.02,4.5,,,,
Total,,,,,,,,,,22.27,,20.83,40.09,27.45,29.76,30.31,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,,,,,,,,,,
