BELPER-NORTHFIELD,,,,,,,,,,,,,,,,,,,,
Grid ref,SK346480,Long,-1.4855589,Lat,53.028175,Elevation,225,ft.,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,3.62,3.75,2.59,3.88,2.39,1.11,1.44,4.25,2.28,1.86,1.68,2.33,4.64,1.16,2.8,1.49,
February,,,,3.02,2.97,2.82,0.62,0.39,1.33,2.48,0.84,0.12,1.85,3.77,3.17,0.27,0.97,3.71,1.99,
March,,,,1.31,2.36,1.61,3.33,1.55,2.89,3.86,1.72,1.74,1.28,0.54,1.86,2.38,3.63,2.72,1.58,
April,,,3.62,2.37,2.46,1.9,1.97,1.2,1.95,3.03,0.65,2.92,0.94,0.69,2.86,2.06,1.09,2.95,2.65,
May,,,2.74,0.93,1.34,2.49,5.73,1.74,0.9,4.22,2.13,3.38,3.29,2.8,1.73,0.61,0.33,1.91,2.76,
June,,,4.13,3.91,1.3,3.3,1.31,0.59,2.01,0.53,2.82,4.82,5.09,1.18,2.32,1.67,2.16,3.82,1.45,
July,,,3.47,2.75,3.99,0.7,3.08,1.35,4.91,3.33,2.44,3,2.63,3.12,2.8,4.46,2.22,0.96,1.35,
August,,,1.74,1.55,2.11,2.79,1.85,2.05,2.8,2.84,2.99,4.25,3.21,2.19,1.96,2.52,2.23,3.84,3.51,
September,,,1.95,6.04,2.18,2.67,1.93,2.93,1.25,2.68,1.75,1.56,3.22,1.53,0.44,0.67,5.63,2.78,0.7,
October,,,6.08,3.51,1.33,6.67,5.98,1.75,0.91,3.6,2.02,4.99,3.42,2.12,3,2.72,3.31,1.14,3.69,
November,,,4.88,3.83,1.23,3,1.99,2.17,4.78,1.31,4.49,3.48,1.77,1.66,2.47,3.8,1.69,3.46,2.98,
December,,,6.36,1.59,3.08,0.98,3.6,2.12,2.93,2.28,1.04,5.23,1.66,3.33,2.78,3.09,5.18,3.84,2.54,
Total,,,,34.43,28.1,31.52,35.27,20.23,27.77,31.6,27.14,37.77,30.22,24.61,27.72,28.89,29.6,33.93,26.69,
,,,,,,,,,,,,,,,,,,,,
NGR is Northfield. Altitudes match. Gauge moved 350m NNE in 1899 to Quarry Bank.,,,,,,,,,,,,,,,,,,,,
