"FOXTON (THE BURY) (THE MORTIMERS)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR3052,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.11,1.96,2.27,1.15,2.44,0.90,1.72,2.00,2.63,1.17,,
February,0.33,0.33,1.47,2.39,0.83,2.53,2.24,2.73,1.06,0.47,,
March,1.48,0.99,1.45,2.04,0.78,0.90,0.22,1.73,1.36,0.03,,
April,3.53,1.23,2.73,1.51,2.54,1.65,2.74,1.77,0.51,1.54,,
May,1.30,0.88,1.54,1.37,3.64,2.30,2.37,0.48,1.76,1.01,,
June,1.28,0.71,1.00,0.78,1.92,0.44,2.21,2.65,2.23,1.19,,
July,3.00,0.30,4.01,2.32,2.98,3.10,2.89,2.19,2.86,2.10,,
August,0.79,0.81,2.16,3.16,1.61,2.24,0.71,2.48,1.79,0.53,,
September,1.77,1.38,2.46,1.89,1.92,2.45,3.02,3.78,0.57,,,
October,0.71,1.05,0.73,3.66,3.70,2.83,2.18,1.42,2.45,,,
November,0.47,1.69,0.93,1.14,2.33,1.61,2.93,2.23,1.31,,,
December,1.64,1.26,1.60,1.87,2.27,1.56,0.34,1.92,2.18,,,
Total,18.41,12.59,22.35,23.28,26.96,22.51,23.57,25.38,20.71,,,
Calc annual,18.41,12.59,22.35,23.28,26.96,22.51,23.57,25.38,20.71,8.04,0.00,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,NaN,NaN,
