"FOXTON HOUSE (ROYSTON) THE BURY",,,,,,,,,,,,
Grid ref,TL410484,Long,0.057838,Lat,52.115948,,,,,,,
Station no,RR3052,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.32,0.48,0.55,1.91,1.53,1.21,2.56,1.34,0.81,0.76,,
February,3.67,0.72,0.72,0.61,2.32,1.27,1.56,1.25,0.92,0.31,,
March,0.70,2.10,0.92,2.13,1.28,2.28,1.98,0.88,2.03,2.99,,
April,0.91,2.41,0.77,1.63,0.85,1.68,0.89,3.00,3.06,1.59,,
May,1.21,0.96,3.65,4.32,1.53,1.05,1.38,3.15,1.63,1.51,,
June,2.46,1.36,3.00,4.14,1.22,3.59,3.36,1.59,1.09,3.45,,
July,0.89,1.38,1.22,4.84,3.30,1.31,0.79,1.73,3.16,3.06,,
August,2.52,1.35,4.38,3.09,2.23,2.69,1.49,2.45,2.11,2.07,,
September,0.47,1.39,0.79,1.88,1.23,1.90,0.73,0.76,1.29,1.91,,
October,1.98,1.40,1.58,4.53,1.05,1.42,3.06,2.32,1.22,3.71,,
November,2.08,1.31,1.09,2.08,1.14,1.85,3.55,1.95,0.83,0.74,,
December,2.09,2.20,1.17,1.35,1.61,0.72,2.25,2.51,1.37,2.77,,
Total,21.30,17.06,19.84,32.51,19.29,20.97,23.60,22.93,19.52,24.87,,
Calc annual,21.30,17.06,19.84,32.51,19.29,20.97,23.60,22.93,19.52,24.87,,
Difference,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
