RAVENSTHORPE (Coton Mill),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP669713,Long,-1.0186,Lat,52.3362,Elevation,355,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1121/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,2.78,2.77,1.04,0.83,2.45,2.08,1.03,1.84,1.52,2.74,1.49,1.95,0.99,3.03,3.8,1.27,0.81,2.11,2.74,0.95,4.11,1,1.08,1.24,2.1,0.81,3.76,3.75,1.05,2.56,1.13,2.06,2.17,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,0.5,0.57,2.28,2.13,1.01,0.04,1.07,2.75,1.92,0.23,0.51,3.18,0.9,2.09,4.07,1.15,1.69,1.12,3.18,0.7,2.37,1.56,1.17,0.48,2.68,1.36,1.82,1.05,1.46,2.6,4.15,1.18,1.2,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,1.6,1.81,2.92,3.01,2.09,0.71,0.8,0.18,1.14,2.19,2.81,3.16,1.15,1.39,0.6,1.91,1.27,3.16,1.56,3.31,1.52,1.35,3.38,2.91,0.72,2.12,2.75,3.15,2.67,0.99,4.92,1.62,0.8,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,1.73,1.37,1.73,2.36,1.13,0.63,0.69,0.29,2,1.47,1.4,2.11,2.17,2.29,0.64,2.35,1.62,2.13,1.08,1.8,0.7,2.72,3.52,1.81,1.41,0.91,0.16,2.8,0.84,0.82,1.08,2.08,2.91,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,4.01,2.4,0.97,3.41,1.63,3.17,1.92,1.27,1.49,0.46,0.4,0.83,3.72,1.37,1.09,1.76,2.74,2.92,2.07,1.26,1.54,4.32,2.18,1.56,2.6,1.9,2.54,1.72,1.02,1.92,1.5,1.85,1.89,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,1.19,1.57,1.82,0.77,1.9,1.91,2.17,1.11,2.44,0.53,2.68,2.66,0.58,1.1,2.97,2.45,2.87,2.66,0.51,3.14,5.06,2.66,1.1,3.27,1.05,1.82,3.28,1.17,2.75,0.77,1.81,2.29,0.64,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,3.26,0.73,5.54,2.34,3.16,2.39,2.14,2.93,3.2,2.98,1.02,0.27,0.89,2,3.06,1.79,1.36,2.8,2.02,0.46,0.53,3.01,3.28,2.92,2.08,0.44,3.42,1.33,2.35,4.14,2.23,1.17,2.99,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,1.36,1.44,1.92,3,1.72,4.1,1.97,2.2,2.22,2.72,2.48,4.22,2.16,2.04,3.35,1.67,2.74,3.52,3.84,3.13,0.91,2.58,3.31,2.92,3.03,2.98,7.16,0.66,2,1.76,2.82,5.15,1.18,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,1.81,1.87,2.14,2.33,1.22,0.95,2.72,0.84,2.18,0.54,4.79,2.31,0.56,3.92,0.55,1.12,1.56,2.59,2.31,1.86,1.08,0.72,1.66,2.81,0.72,1.32,1.1,1.49,0.88,1.59,1.31,1.81,4.54,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,5.03,2.54,0.43,2.96,1.48,5.82,3.9,2.68,2.92,2.63,3.43,1.66,2.98,3.1,2.23,1.26,2.25,6.56,0.84,1.38,4.68,4.52,1.19,3.56,2.53,2.22,2.46,3.31,2.21,1.71,2.65,3.11,1.35,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
