RAVENSTHORPE (Reservoir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP682704,Long,-1.000684,Lat,52.327465,Elevation,370,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1121/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,3.62,2.75,2.58,3.76,1.45,2.29,1.42,2.76,2.12,3.34,1.29,2.68,1.52,1.42,1.27,1.98,0.89,3.38,3.68,2.71,5.47,2.19,2.92,2.53,3.91,1.89,1.73,2.08,1.72,4.71,1.12,0.65,2.35,1.64,1.15,1.04,1.96,3.83,1.33,3.08,3.34,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,2.58,0.74,0.28,2.51,4.43,0.67,2.46,3.3,2.82,1.77,0.48,0.56,2.55,0.27,2.97,0.4,2.3,1.93,2.98,0.75,0.94,2.26,1.8,0.78,1.18,1.17,1.8,2.16,1.41,1.15,1.09,3.97,2.99,0.65,1.59,2.3,1.81,0.59,2.37,3.17,0.05,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,4.04,2.36,1.16,1.82,1.77,0.95,0.84,0.64,2.05,1.74,0.12,1.8,0.06,1.4,2.86,1.43,0.32,1.23,2.63,0.24,1.7,1.95,2.97,1.42,0.83,0.15,0.87,0.97,4.72,0.68,1.55,1.04,3.49,2.84,0.94,2.34,2.2,0.76,2.27,1.94,2.53,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,2.05,4.8,1.26,2.96,1.99,3.64,1.94,2.34,1.56,1.77,1.66,2.01,3.84,3.26,0.87,2.03,4.73,1.92,3.2,0.06,1.77,1.94,1.49,1.33,0.85,2.24,0.96,2.05,1.91,1.18,1.91,2.01,3.18,1.79,1.6,0.32,0.76,0.9,0.39,0.68,2.37,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.38,2.37,1.43,1.08,1.14,4.43,2.95,2.92,0.77,1.2,1.36,2.64,2.56,4.87,1.3,1.08,0.89,0.86,3.28,1.46,1.15,1.2,1.77,3.01,2.62,1.06,2.17,2.01,0.97,3.41,2.44,2.99,2.97,2.29,1,2.51,4.75,0.46,1.49,2.17,0.4,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,0.9,2.77,0.6,1.1,0.8,2.07,0.04,1.93,3.9,2.83,1.07,1.17,1.66,0.84,1.85,1.09,4.55,3.45,1.77,1.41,1.85,0.63,1.54,0.17,2.32,2.61,2.45,3.36,1.05,1.81,0.44,2.23,1,1.1,2.36,2.58,2.1,2.69,2,3.73,1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,2.86,3.87,0.45,4.37,2.94,3.05,2.52,1.96,2.58,2.2,1.56,4.36,3.1,3.72,1.43,1.65,0.89,4.47,1.39,1.93,2.76,3.08,2.87,1.83,0.78,2.19,1.83,1.67,1.91,1.36,0.84,3.64,0.88,0.39,2.29,2.76,0.2,3.06,2.25,2.88,1.59,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,5.15,,2.71,1.13,2.38,4.86,1.72,1.95,1.52,1.52,3.26,2.92,1.31,2.5,3.02,1.68,0.85,1.78,1.37,0.34,1.04,3.54,3.97,0.08,4.26,1.93,2.28,2.56,1.27,3.17,0.03,3.08,0.79,1.77,4.7,3.6,2.22,4.05,0.66,5.72,2.28,2.84,0.67,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,1.59,1.86,1.14,2.18,3.09,3.18,3.72,1.87,3.93,0.57,0.95,3.73,3.52,2.47,1.48,2.09,2.8,2.64,1,1.55,0.76,0.7,0.32,0.79,2.17,2.72,2.03,3.23,1.45,3.19,1.56,3.48,1.44,2.23,1.62,2.22,2.17,2.13,4.14,2.42,0.07,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,2.03,1.08,1.22,0.73,4.38,3.85,2.84,2.23,1.64,3.35,3.09,1.61,0.46,3.04,2.2,1.38,3.38,2.16,2.6,2.47,5.83,3.88,2.38,2.89,1.99,3.06,4.08,1.08,0.13,3.3,5.81,0.59,1.03,3.3,2.37,2.59,1.94,1.03,1.1,2.3,1.71,5.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
