WAVENDON-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SP923376,Long,-0.65605714,Lat,52.029142,Elevation,250,ft,,,,,,,,,,,,
Station no,1023/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,3.43,2.43,4.47,2.87,3.48,,,,,,,,,
February,,,,,,,4.05,0.65,0.81,1.9,2.21,,,,,,,,,
March,,,,,,1.57,4.05,0.25,1.82,3.06,3.08,,,,,,,,,
April,,,,,,1.33,3.02,0.1,3.09,2.68,1.56,,,,,,,,,
May,,,,,,1.64,3.96,1.53,1.52,1.8,2.35,,,,,,,,,
June,,,,,,4,1.47,0.86,3.32,0.7,1.93,,,,,,,,,
July,,,,,,5.73,1.75,1.56,3.2,3.45,4.38,,,,,,,,,
August,,,,,,0.31,1.62,3.43,3.86,0,3.26,,,,,,,,,
September,,,,,,2.51,1.2,1.2,0.68,1.07,0.27,,,,,,,,,
October,,,,,,1.58,3.32,2.9,4.02,2.43,0.88,,,,,,,,,
November,,,,,,2.09,1.79,2.24,3.83,7.09,2.49,,,,,,,,,
December,,,,,,1.53,2.34,3.83,2.19,1.05,0.74,,,,,,,,,
Total,,,,,,,32,20.98,32.81,28.1,26.63,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1936 Jan Feb estimated,,,,,,,,,,,,,,,,,,,,
1939 Apr IDR,,,,,,,,,,,,,,,,,,,,
1940 dash=zero,,,,,,,,,,,,,,,,,,,,
