MAIDSTONE-COLLEGE-ROAD,,,,,,,,,,
Grid ref,TQ758550,Long,0.518568,Lat,51.267041,Elevation,50,ft,,
Station no,359/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.96,1.59,3.28,4.35,2.39,2.16,2.1,2.61
February,,,1.36,2.02,1.96,1.07,3.39,2.21,0.06,1.73
March,,,0.26,2.52,1.33,0.58,0.98,1.18,1.44,1.54
April,,,1.8,0.32,0.2,1.08,0.16,1.54,2.42,0.56
May,,,1.74,1.75,3.94,0.42,1.57,1.9,0.9,2.64
June,,,1.78,2.94,1.89,2.32,1.38,4.04,0.96,1.14
July,,,3.52,2.31,3.1,2.66,2.91,1.28,1.78,3.54
August,,,1.69,2.89,0.72,2.46,2.56,4.11,0.98,4.62
September,,,3.4,1.6,2.34,3.03,2.71,2.75,0.16,3.79
October,,,2.79,1.65,5.26,1.44,1.02,2.7,2.66,6.65
November,,,1.25,5.54,1.05,0.8,2.96,1.56,3.41,5.26
December,,,0.77,1.75,1.86,2.9,2.48,3.45,4.79,3.4
Total,,,21.32,26.88,26.93,23.11,24.51,28.88,21.66,37.48
