BLACKWATER-HURSTLEIGH,,,,,,,,,,,,,,,,,,,,
Grid ref,SU848597,Long,-0.78352,Lat,51.33054,Elevation,220,ft,,,,,,,,,,,,
Station no,RR4887,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,1.03,6.16,1.34,3.24,0.49,0.96,1.66,2.18,2.84,2.45,3.96,,,
February,,,,,,,1.99,1.63,1.67,3.52,2.73,2.66,1.62,4.2,2.27,3.13,0.6,,,
March,,,,,,,3.28,2.4,1.03,0.76,0.93,1.71,1.15,0.89,1.68,1.93,1.67,,,
April,,,,,,,1.71,2.91,2.39,2.95,1.64,0.53,3.04,1.02,1.54,1.34,2.34,,,
May,,,,,,,0.73,2.65,3.55,3.99,0.39,1.09,1.77,2.13,0.73,3.74,3.62,,,
June,,,,,,,2.93,1.16,2.01,4.53,2.89,1.69,2.83,2.48,1.76,1.93,0.64,,,
July,,,,,,,0.92,3.12,1.17,3.43,5.16,1.61,2.1,1.62,2.56,0.26,1.81,,,
August,,,,,,,2.91,2.89,4.18,4.84,0.72,5.99,1.44,0.43,1.28,0.58,0.92,,,
September,,,,,,,4.17,1.45,1.03,2.74,5.5,1.81,3.13,2.98,1.71,4.53,1.71,,,
October,,,,,,4.65,1.61,2.09,2.57,0.91,5.38,2.17,5.48,1.98,0.93,3.33,4.64,,,
November,,,,,,3.34,3.62,5.59,3.63,0.71,2.8,3.63,3.01,2.77,1.57,3.19,3.01,,,
December,,,,,,1.15,6.28,1.72,1.57,0.87,2.97,3.35,2.6,0.61,2.23,1.41,4.62,,,
Total,,,,,,,31.18,33.77,26.14,32.49,31.6,27.2,29.83,23.29,21.1,27.82,29.54,,,
,,,,,,,,,,,,,,,,,,,,
1875 Trees round the gauge but none sufficiently near to affect it,,,,,,,,,,,,,,,,,,,,
