OVINGTON-BARLEY-DOWN-(OLD-5-IN-GAUGE),,,,,,,,,,
Grid ref,SU556297,Long,-1.20791,Lat,51.06396,Elevation,300,ft,,
Station no,RR6841,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,1.51,3.79,5.99,0.75,,,,,
February,,2.06,3.52,1.48,4.83,,,,,
March,,2.65,4.58,4.28,5.05,,,,,
April,,1.92,0.03,3.49,1.42,,,,,
May,,3.43,1.02,2.61,1.88,,,,,
June,,1.96,5.49,0.51,0.44,,,,,
July,,0.08,2.09,2.04,2.66,,,,,
August,,0.61,6.87,1.24,2.42,,,,,
September,,1.35,2.83,2.25,0.46,,,,,
October,,2.5,4.12,4.17,0.84,,,,,
November,,4.5,1.77,3.51,1.34,,,,,
December,,10.59,5.25,2.14,,,,,,
Total,,33.16,41.36,33.71,,,,,,
,,,,,,,,,,
5in gauge 1ft 1in above ground,,,,,,,,,,
1914 Dec and total crossed out,,,,,,,,,,
1914 Not printed Bad,,,,,,,,,,
