CROUCH-END-FAIRFIELD-ROAD-TENNIS-COURT,,,,,,,,,,
Grid ref,TQ303885,Long,-0.12089002,Lat,51.580308,Elevation,144,ft.,,
Station no,RR6182,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,1.98,0.84,2,0.75,2.5
February,,,,,,0.1,0.24,2.95,1.2,2.07
March,,,,,,1.55,3.48,3.55,1.42,0.52
April,,,,,,1.21,0.53,1.95,1.23,2.79
May,,,,,,0.45,0.18,1.5,2.27,1.43
June,,,,,,0.49,1.7,2.58,1.18,1.58
July,,,,,,3.69,1.18,2.5,0.91,1.87
August,,,,,,3.23,1.67,2.83,1.45,0.5
September,,,,,,1.13,6,2.7,0.39,3.05
October,,,,,,2.76,3.42,0.6,3.26,2.26
November,,,,,,3.72,0.97,1,1.97,4.02
December,,,,,,2.25,4.12,2.44,2.58,1.04
Total,,,,,,22.56,24.33,26.6,18.61,23.63
,,,,,,,,,,
NGR is mid-point of Fairfield Road. ,,,,,,,,,,
Stated altitude is a few feet high. ,,,,,,,,,,
NGR could be +/- 100m.,,,,,,,,,,
640m from CROUCH-END-PRIORY-PARK,,,,,,,,,,
