BLACKDEN-BROOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK127890,Long,-1.8104703,Lat,53.397678,Elevation,1070,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2692/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,8.55,8.31,7.93,,5.4,,7.78,10.34,6.87,7.55,4.72,16.13,3.63,4.83,8.36,7.83,3.84,6.44,3.11,8.67,5.06,6.83,,9.77
February,,,,,,,9.05,3.26,5.11,,7,,5.36,3.67,,11.33,3.29,5.09,3.84,8.61,6.89,4.67,,4.23,2.76,2.03,4.83,10.62,0.74,3.63
March,,,,,,,5.17,2.74,4.39,,6.78,,2.18,1.52,2.16,2.15,,2.37,3.13,3.11,9.45,3.67,5.17,4.73,3.85,2.86,5.78,3.47,2.78,2.24
April,,,,,,,4.96,1.46,4.11,4.25,3.13,3.06,3.54,3.87,3.58,2.06,5.63,3.22,6.05,6.84,3.34,4.04,4.63,1.44,3.13,2.72,0.62,2.01,,4.34
May,,,,,,,2.69,5.32,2.63,1.08,4.03,4.86,4.17,5.23,4.21,2.21,4.98,1.63,2.67,2.21,2.88,3.64,2.38,4.65,5.88,1.57,2.19,4.93,1.53,2.43
June,,,,,,,2.77,5.93,3.53,1.83,2.78,0.91,4.95,4.73,5.19,5.73,3.34,8.39,1.67,3.06,2.02,3.58,5.23,4.18,4.67,4.75,2.41,6.42,2.96,1.79
July,,,,,,,5.39,6.97,8.63,,4.31,7.27,2.67,4.61,2.47,6.29,3.64,3.23,3.64,4.09,3.96,4.26,7.92,10.34,1.46,10.18,6.71,7.63,5.96,
August,,,,,,,1.67,2.97,2.77,2.83,8.87,4.51,7.62,4.09,4.67,6.19,0.57,6.75,4.17,5.19,6.74,3.34,6.52,8.45,0.94,13.75,9.27,4.43,0.54,6.69
September,,,,,,,1.93,3.46,2.55,5.28,0.73,4.21,5.74,8.29,3.71,8.76,2.95,3.23,2.17,8.98,4.28,7.85,4.27,8.17,3.48,5.64,12.67,8.19,0.2,5.34
October,,,,,,,3.02,11.66,4.22,5.71,6.76,9.73,3.53,7.71,9.75,1.73,1.27,3.82,5.67,2.94,1.62,7.63,2.63,11.12,4.86,4.93,6.83,5.47,,7.64
November,,,,,,,2.67,8.43,10.32,11.22,5.03,1.78,6.45,9.71,0.94,10.74,7.95,3.64,9.26,9.85,12.44,4.24,4.52,9.64,3.22,3.22,2.67,2.23,6.74,9.54
December,,,,,,,4.86,7.29,5.59,,4.79,5.78,2.83,5.21,4.42,6.23,7.16,4.26,11.28,3.94,10.53,6.58,3.22,12.17,8.63,7.46,,6.36,9.78,7.53
Total,,,,,,,52.73,67.8,61.78,,59.61,,56.82,68.98,,70.97,,61.76,57.18,63.65,72.51,61.33,,85.56,45.99,67.78,,68.59,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near Blackden Brook. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan and Feb 1941 corrected for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
