KIRRIEMUIR ESKHILL,,,,,,,,,,,,,,,,,,,,
Grid ref,NO434568,Long,-2.925884,Lat,56.69947,Elevation,320,ft,,,,,,,,,,,,
Station no,RR8831,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,0.73,2.98,1.64,2.18,2.66,1.77,,,,,,,,,
February,,,,,,1,1.07,1.62,1.13,0.51,2.92,,,,,,,,,
March,,,,,,4.04,0.97,1.64,4.26,4.06,2.3,,,,,,,,,
April,,,,,,2.29,1.26,3.01,0.8,4.18,2.05,,,,,,,,,
May,,,,,,2.39,6.14,4.71,2.26,2.39,1.59,,,,,,,,,
June,,,,,,1.01,0.7,4.51,1.63,2.02,1.55,,,,,,,,,
July,,,,,,2.04,0.94,2.26,2.31,2.31,4.43,,,,,,,,,
August,,,,,,3.93,6.41,3.52,2.89,1.46,5.57,,,,,,,,,
September,,,,,,1.28,1.19,1.42,4.63,0.88,0.94,,,,,,,,,
October,,,,,,1.99,4.69,4.32,2.96,3.65,1.43,,,,,,,,,
November,,,,,,6.43,4.98,2.31,2.32,0.57,3.39,,,,,,,,,
December,,,,,,1.98,1.9,4.14,3.97,3.24,3.35,,,,,,,,,
Total,,,,,,29.11,33.23,35.1,31.34,27.93,31.29,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8831,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
