KIRRIEMUIR ESKHILL,,,,,,,,,,,,
Grid ref,NO434568,Long,-2.925884,Lat,56.699470,,,,,,,
Station no,RR8831,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.73,2.98,1.64,2.18,2.66,,
February,,,,,,1.00,1.07,1.62,1.13,0.51,,
March,,,,,,4.04,0.97,1.64,4.26,4.06,,
April,,,,,,2.29,1.26,3.01,0.80,4.18,,
May,,,,,,2.39,6.14,4.71,2.26,2.39,,
June,,,,,,1.01,0.70,4.51,1.63,2.02,,
July,,,,,,2.04,0.94,2.26,2.31,2.31,,
August,,,,,,3.93,6.41,3.52,2.89,1.46,,
September,,,,,,1.28,1.19,1.42,4.63,0.88,,
October,,,,,,1.99,4.69,4.32,2.96,3.65,,
November,,,,,,6.43,4.98,2.31,2.32,0.57,,
December,,,,,,1.98,1.90,4.14,3.97,3.24,,
Total,,,,,,29.11,33.23,35.10,31.34,27.93,,
Calc annual,0.00,0.00,0.00,0.00,0.00,29.11,33.23,35.10,31.34,27.93,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,,
