MADELEY-CE-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ697043,Long,-2.4491571,Lat,52.635596,Elevation,373,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2295/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,1.94,2.4,0.43,,,,,,0.72,4.57,1.84,2.36,2.1,2.92,1.17,3.87,3.23,2.91,6.56,3.67,3.93,3.47,4.81,2.56,2.38,,,,,
February,,0.33,3.13,4.84,,,,,,0.47,0.43,1.77,0.08,2.53,0.42,2.88,2.87,4.87,0.63,1.02,3.02,3.13,0.94,1.84,2.62,1.73,,,,,
March,,1.29,1.93,1.07,,,,,,0.03,3.39,0.17,2.18,2.52,1.96,0.79,1.72,2.43,0.39,1.23,2.11,2.41,2.32,1.09,0.69,1.4,,,,,
April,,1.44,1.49,1.89,,,,,,0.62,2.55,4.88,3.43,1.09,2.62,3.52,2.73,2.38,0.22,1.91,3.68,1.51,1.41,1.07,1.38,1.03,,,,,
May,,0.9,0.85,1.64,,,,,,2.38,2.15,4.89,4.41,1.17,1.23,1.06,1.41,2.32,2.03,1.21,2.86,2.35,3.15,2.93,1.44,3.41,,,,,
June,,0.4,0.47,0.23,,,,,,2.78,0.28,4.91,0.94,3.08,1.25,2.77,3.93,1.58,1.87,1.45,1.08,2.54,0.89,2.14,1.6,2.61,,,,,
July,,0.18,3.51,2.43,,,,,,1.98,5.31,3.2,4.86,2.18,1.16,0.79,5.41,3.66,2.88,5.32,2.47,2.37,1.81,2.05,2.91,1.81,,,,,
August,,3.4,2.4,2.98,,,,,,1.3,1.76,5.37,1.91,1.36,2.64,1.34,0.79,1.06,4.38,1.58,0.38,4.16,2.44,1.76,3.3,3.89,,,,,
September,,0.45,1.88,1.43,,,,,,0.84,3.26,2.83,2.16,0.67,2,3.8,4.08,2.27,1.24,0.56,0.82,0.95,1.47,3.85,2.66,1.6,,,,,
October,,1.67,0.47,3.32,,,,,,3.08,3.96,0.94,4.15,5.06,2.89,3.63,1.84,2.72,3.29,3.75,3.63,2.54,2.06,2.67,3.47,4.76,,,,,
November,,1.75,0.91,1.65,,,,,,5.69,3.3,4.32,2.03,1.2,2.57,6.02,2.95,1.73,4.13,4.19,7.16,3,0.69,2.11,3.91,0.44,,,,,
December,,1.44,3.62,2.8,,,,,,5.58,3.36,1.27,1.24,0.49,5.37,3.47,2.59,2.96,3.19,1.98,2.15,1.38,2.76,1.2,2.25,3.03,,,,,
Total,,15.19,23.06,24.71,26.27,19.63,32.92,27.46,26.82,25.47,34.32,36.39,29.75,23.45,27.03,31.24,34.19,31.21,27.16,30.76,33.03,30.27,23.41,27.52,28.79,28.09,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1940s record and is near a school. The NGR matches the relationships to the church and station and altitudes match; the school is 100m SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
