ANDOVER-CLARENDON-AVENUE,,,,,,,,,,
Grid ref,SU354448,Long,-1.49471,Lat,51.2013,Elevation,190,ft,,
Station no,661/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.53
February,,,,,,,,,,3.07
March,,,,,,,,,,1.7
April,,,,,,,,,,1.03
May,,,,,,,,,,1.23
June,,,,,,,,,,3.21
July,,,,,,,,,,3.89
August,,,,,,,,,,3.62
September,,,,,,,,,,4.13
October,,,,,,,,,,10.14
November,,,,,,,,,3.71,4.15
December,,,,,,,,,7.06,3.91
Total,,,,,,,,,,44.61
,,,,,,,,,,
1953-1958 Not printed Unorthodox exposure Gauge 4ft 6in above ground,,,,,,,,,,
1959 Nov 1 Gauge moved 15ft N,,,,,,,,,,
1959 Not printed Big,,,,,,,,,,
1960 July 8 Satisfactory site but may suffer from neighbours trees,,,,,,,,,,
,,,,,,,,,,
SRC_ID 7634,,,,,,,,,,
1953-1977,,,,,,,,,,
