BATH-LANSDOWNE-ENSLEIGH,,,,,,,,,,,,,,,,,,,,
Grid ref,ST742675,Long,-2.37213,Lat,51.4061,Elevation,740,ft,,,,,,,,,,,,
Station no,RR8790,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,0.76,1.04,4.3,3.1,1.23,2.63,2.91,,,,,
February,,,,,,,,,2.34,1.67,0.64,0.01,1.79,4.17,3.35,,,,,
March,,,,,,,,,3.83,3.84,1.47,3.04,0.77,0.7,2.22,,,,,
April,,,,,,,,,2.74,4.27,1.43,1.29,0.96,0.05,3.16,,,,,
May,,,,,,,,,1.37,2.28,2.83,3.25,1.19,1.88,2.09,,,,,
June,,,,,,,,,3.4,1.58,3.88,1.08,2.66,1.27,2.61,,,,,
July,,,,,,,,,7.09,2.25,4.06,2.79,3.77,4.33,4.46,,,,,
August,,,,,,,,,2.62,3.33,2.98,6.04,3.9,2.05,2.87,,,,,
September,,,,,,,,,1.76,1.38,1.62,2.22,2.9,1.69,3.51,,,,,
October,,,,,,,,,1.08,3.67,1.51,8.68,3.24,4.14,4.11,,,,,
November,,,,,,,,,6.78,1.24,2.3,3.03,2.7,2.78,5.5,,,,,
December,,,,,,,,,3.72,1.98,2.1,4.95,1.35,3.25,2.87,,,,,
Total,,,,,,,,,37.49,28.53,29.12,39.48,26.46,28.94,39.66,,,,,
