"GLASGOW, DUMBRECK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 55421 63951,Long,-4.310793,Lat,55.847033,Elevation,76,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,4.25,4.77,5.07,5.51,9.29,1.4,5.64,3.37,6.42,4.38,5.1,1.8,4.52,3.53,6.3,4.4,2.71,0.94,5.16,3.93,,,,,,,
February,,,,,0.58,3.48,4.12,2.21,4.53,1.78,0.28,3.23,0.01,2.98,0.44,4.21,1.72,4.64,2.09,5.27,1.4,3.1,1.41,5.18,,,,,,,
March,,,,,0.8,2,2.92,2.85,3.28,0.86,2.87,1.08,1.87,2.47,2.56,1.75,2.61,1.21,3.14,3.16,4.11,3.17,2.18,2.09,,,,,,,
April,,,,,2.1,4.46,2.48,2.43,1,1.22,1.09,1.45,3.36,1.4,2.62,3.16,1.08,1.83,0.45,1.6,2.32,1.97,2.3,2.72,,,,,,,
May,,,,,4.33,6.35,3.01,2.41,2.06,2.72,1.55,3.88,2.68,2.34,2.18,0.49,1.61,1.72,4.09,0.83,1.14,3.34,2.73,3.48,,,,,,,
June,,,,,1.82,0.34,2.27,4.17,5.24,2.97,2.8,4.65,0.87,1.9,1.9,5.09,1.53,1.96,4.9,1.68,0.62,0.58,1.38,2.53,,,,,,,
July,,,,,3.2,1.69,3.47,3.53,2.23,2.65,4.14,3.1,3.07,3.93,1.83,1.95,4.95,3.64,3.32,3.97,3.67,3.25,2.38,2.63,,,,,,,
August,,,,,3.61,3.83,3.48,6.33,3.1,6.12,5.37,2.17,1.28,2.26,4.4,2.21,2.81,3.45,3.03,1.55,1.94,4.34,4.15,6.23,,,,,,,
September,,,,,4.46,3.25,2.83,6.06,3.1,1.2,5.69,1.12,4.23,0.73,4.33,5.08,3.6,2.84,2.87,2.35,3.59,1.53,5.19,,,,,,,,
October,,,,,2.87,3.16,5.44,5.13,5.92,5.21,5.94,2.85,5.89,2.69,5.83,8.11,4.01,3.34,7.9,2.23,4.63,3.37,4.77,,,,,,,,
November,,,,,2.69,0.75,6.52,3.85,4.6,6.93,4.72,6.38,3.5,1.81,1,3.91,3.95,0.48,6.69,7.23,5.23,2.95,0.69,,,,,,,,
December,,,,,6.24,3.07,1.53,1.3,3.96,9.03,3.98,3.78,7.59,0.52,4.61,2.79,5.89,2.07,2.59,2.3,4.37,2.09,4.85,,,,,,,,
Total,,,,,36.95,37.15,43.14,45.78,48.31,42.09,44.07,37.06,40.77,27.41,36.8,40.55,38.28,30.71,47.37,36.57,35.73,30.63,37.19,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd stn,657580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
