SHIPLAKE-CRESCENT-KEY,,,,,,,,,,,,,,,,,,,,
Grid ref,SU775795,Long,-0.88467665,Lat,51.509124,Elevation,127,ft,,,,,,,,,,,,
Station no,1073/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,2.1,1.59,0.55,3.94,4.34,2.69,4.88,2.49,2.73,2.76,,,,,,,,
February,,,2.74,0.07,2.18,1.7,4.7,0.64,1.09,2.16,2.14,0.59,,,,,,,,
March,,,2.66,2.05,0.47,1.83,3.13,0.28,1.06,2.38,2.66,1.6,,,,,,,,
April,,,1.01,1.54,3.24,1.64,3.05,0.09,3.06,2.23,1.48,,,,,,,,,
May,,,2.19,0.45,1.43,0.75,2.84,1.84,1.21,1.42,1.7,,,,,,,,,
June,,,2.06,1.31,3.15,3.37,2.11,0.6,1.35,1.05,1.96,,,,,,,,,
July,,,1.68,1.19,0.46,3.28,2.72,1.52,2.84,2.57,5.17,,,,,,,,,
August,,,0.51,2.68,1.78,0.28,0.81,3.1,2.81,0.05,4.04,,,,,,,,,
September,,,2.39,1.64,3.65,2.57,2.35,1.04,0.83,1.2,0.12,,,,,,,,,
October,,,1.52,1.57,3.05,1.78,2.55,3.18,5.29,3.05,0.92,,,,,,,,,
November,,,1.04,1.48,3.75,3.45,1.6,3.32,4.35,6.04,2.64,,,,,,,,,
December,,,0.41,6.45,2.58,2.4,3.27,2.93,1.41,1.47,1.37,,,,,,,,,
Total,,,20.31,22.02,26.29,26.99,33.47,21.23,30.18,26.11,26.93,,,,,,,,,
