OUSEBURN-THORPE-UNDERWOOD-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SE463592,Long,-1.2947175,Lat,54.026725,Elevation,60,ft.,,,,,,,,,,,,
Station no,RR4461,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,2.21,0.55,3.21,0.81,1.09,0.69,2.78,1.17,,3.28,1.42,,,,,
February,,,,,3.23,1.14,1.96,1.42,1.57,0.53,2.18,0.75,1.52,0.81,1.83,,,,,
March,,,,,1.52,1.67,1.43,1.34,2.97,3.51,0.46,1.16,3.29,2.56,2.04,,,,,
April,,,,,1.52,2.56,0.52,1.14,2.3,2.07,2.4,1.08,0.06,2.95,0.96,,,,,
May,,,,,3.21,0.81,3.12,3.77,1.51,1.43,2.43,0.86,2.83,1.78,1.43,,,,,
June,,,,,1.11,1.6,1.4,4.07,1.22,2.68,2.37,4.55,5.75,1.43,1.91,,,,,
July,,,,,1.36,1.81,1.49,1.5,2.48,2.7,2.67,0.86,3.39,0.81,5.17,,,,,
August,,,,,3.93,3.5,2.78,1.6,1.38,2.75,3.28,2.32,4.27,0.85,1.81,,,,,
September,,,,,1.27,1.86,0.46,0.67,2.27,1.57,0.23,2.38,1.7,1.33,1.17,,,,,
October,,,,,0.69,1.61,4.45,5.85,1.46,1.84,2.09,3.87,2.59,2.52,1.84,,,,,
November,,,,,1.92,3.42,2.96,2.68,1.3,0.45,2.66,2.64,2.37,2.06,3.1,,,,,
December,,,,,1.71,0.99,1.68,2.35,1.57,4.09,2.36,4.35,1.86,1.49,4.7,,,,,
Total,,,,,23.68,21.52,25.46,27.2,21.12,24.31,25.91,25.99,,21.87,27.38,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is the Hall. Altitudes match.,,,,,,,,,,,,,,,,,,,,
