"OUSEBURN, THORPE, UNDERWOOD HALL",,,,,,,,,,,,
Grid ref,SE463592,Long,-1.294717,Lat,54.026725,,,,,,,
Station no,RR4461,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.21,0.55,3.21,0.81,1.09,0.69,,
February,,,,,3.23,1.14,1.96,1.42,1.57,0.53,,
March,,,,,1.52,1.67,1.43,1.34,2.97,3.51,,
April,,,,,1.52,2.56,0.52,1.14,2.30,2.07,,
May,,,,,3.21,0.81,3.12,3.77,1.51,1.43,,
June,,,,,1.11,1.60,1.40,4.07,1.22,2.68,,
July,,,,,1.36,1.81,1.49,1.50,2.48,2.70,,
August,,,,,3.93,3.50,2.78,1.60,1.38,2.75,,
September,,,,,1.27,1.86,0.46,0.67,2.27,1.57,,
October,,,,,0.69,1.61,4.45,5.85,1.46,1.84,,
November,,,,,1.92,3.42,2.96,2.68,1.30,0.45,,
December,,,,,1.71,0.99,1.68,2.35,1.57,4.09,,
Total,,,,,23.68,21.52,25.46,27.20,21.12,24.31,,
Calc annual,0.00,0.00,0.00,0.00,23.68,21.52,25.46,27.20,21.12,24.31,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,-0.00,0.00,,
