CHATTERIS-SLADE-FARM,,,,,,,,,,,,,,,,,,,,
Grid ref,TL392864,Long,0.047248324,Lat,52.457817,Elevation,20,ft,,,,,,,,,,,,
Station no,RR7279,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,,0.27,0.77,1.33,1.5,1.55,1.09,2.41,1.57,,
February,,,,,,,,,,,1.51,2.11,1.76,2.66,0.43,1.81,0.17,0.73,,
March,,,,,,,,,,,0.94,1.21,1.1,1.05,0.67,0.82,1.55,1.25,,
April,,,,,,,,,,,1.85,1.49,2.46,1.68,0.84,1.02,1.08,1,,
May,,,,,,,,,,,0.75,0.71,1.23,1.07,0.74,2.19,2.85,2.06,,
June,,,,,,,,,,,2.23,1.55,2.58,3.65,0.95,2.15,1.1,0.71,,
July,,,,,,,,,,,6.9,2.13,2.31,2.26,3.96,0.79,4.07,0.59,,
August,,,,,,,,,,6.13,2.35,3.36,2.24,0.95,1.35,1.35,2.33,1.02,,
September,,,,,,,,,,2.65,3.95,2.56,2.37,4.66,1.59,2.86,1.08,1.72,,
October,,,,,,,,,,0.74,4.39,2.28,4.58,1.43,0.91,4.09,2.87,1.68,,
November,,,,,,,,,,1.08,1.55,1.8,2.46,3.49,1.5,2.66,2.26,1.48,,
December,,,,,,,,,,0.73,2.09,2.71,3.16,1.2,1.41,0.65,2.72,0.68,,
Total,,,,,,,,,,,28.78,22.68,27.58,25.6,15.9,21.48,24.49,14.49,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,,,,,,,,,,
Note: Suspected to be a roof gauge at 13ft above ground level,,,,,,,,,,,,,,,,,,,,
