STOKE-POGES-COUNCIL-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU986839,Long,-0.57950123,Lat,51.545391,Elevation,210,ft,,,,,,,,,,,,,
Station no,1008,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,3.81,1.02,2.82,1.73,2,,,,,,,,
February,,,,,,,,,1.68,0.58,0.74,1.35,0.09,,,,,,,,
March,,,,,,,,,1.9,0.02,1.43,0.14,1.58,,,,,,,,
April,,,,,,,,,1.68,1.07,1.85,3.34,2.24,,,,,,,,
May,,,,,,,,,2.1,2.04,2.94,2.66,5.21,,,,,,,,
June,,,,,,,,,2.99,1.09,1.13,1.34,0.96,,,,,,,,
July,,,,,,,,,2.37,1.67,2.16,3.99,1.74,,,,,,,,
August,,,,,,,,,2.55,1.34,2.92,4.53,2.1,,,,,,,,
September,,,,,,,,,1.28,0.43,2.8,2.7,2.32,,,,,,,,
October,,,,,,,,,4.3,3.27,1.37,0.84,4.72,,,,,,,,
November,,,,,,,,,2.87,5.91,3.79,2.92,1.78,,,,,,,,
December,,,,,,,,,2.46,4.51,2.35,0.85,0.61,,,,,,,,
Total,,,,,,,,,29.99,22.95,26.3,26.39,25.35,,,,,,,,
