"CWMTILLERY RESERVOIR",,,,,,,,,,,,
Grid ref,SO221069,Long,-3.129976,Lat,51.755351,,,,,,,
Station no,4006/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.59,4.73,1.28,2.67,4.20,6.23,7.32,4.93,7.16,7.30,,
February,7.67,0.78,1.83,4.67,2.44,0.43,7.09,7.38,0.42,6.20,,
March,6.59,3.94,3.03,5.27,3.38,2.22,5.99,2.21,5.97,4.50,,
April,4.47,4.39,5.57,0.54,1.66,2.90,0.17,1.15,6.06,5.10,,
May,4.38,5.61,4.13,3.13,6.61,1.41,2.73,5.18,2.17,2.59,,
June,1.74,2.72,2.40,8.10,5.76,4.58,1.04,4.67,2.10,2.56,,
July,1.70,2.18,7.47,2.95,1.16,5.56,4.86,5.04,5.40,5.25,,
August,6.36,10.92,6.65,5.64,1.19,4.39,4.61,6.36,1.35,4.70,,
September,5.54,3.93,5.67,6.45,2.52,7.60,7.22,9.30,0.17,7.40,,
October,1.45,7.87,5.10,9.07,3.55,2.02,4.69,7.02,5.56,13.80,,
November,13.70,3.74,4.23,12.64,7.13,1.99,2.95,2.49,8.75,12.27,,
December,8.10,4.08,2.08,5.09,7.92,8.29,5.74,5.50,16.95,7.46,,
Total,68.29,54.89,49.44,66.22,47.52,47.62,54.41,61.23,62.06,79.13,,
Calc annual,68.29,54.89,49.44,66.22,47.52,47.62,54.41,61.23,62.06,79.13,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
