CARTMEL BROUGHTON HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD378809,Long,-2.9542,Lat,54.2207,Elevation,210,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,5.89,5,2.64,9.97,6.88,5.71,7.43,3.39,8.35,5.3,2.48,0.66,0.99,3.53,7.79,7.77,2.97,4.43,3.57,2.43,3.78,7.44,3.07,4.93,1.53,4.01,3.21,3.42,1.3,5.14,6.08,6.54,2.81,3.08,5.13,5.13,,,,,
February,,6.34,2.94,5.18,5.97,1.05,2.88,1.4,5.77,4.1,3.07,3.61,3.63,5.17,4.74,2.94,3.07,5.27,1.9,2.3,1.06,3.05,1.02,0.41,1.86,6.9,8.86,0.68,3.56,3.42,4.15,3.23,4.83,1.1,2.02,3.37,3.63,,,,,
March,,1.22,2.43,2.62,5.3,3.95,3.79,1.25,4.03,4.05,2.2,2.58,2.8,5.67,4.14,1.14,4.02,5.4,4.98,2.3,2.89,3.22,4.59,1.83,1.34,2.04,2.84,5.59,6.33,6.67,1.58,2.4,0.45,3.49,3,4.42,3.51,,,,,
April,,3.09,1.99,3.98,2.16,0.86,1.29,1.68,3.23,2.68,2.73,1.64,1.88,2.37,4.9,2.25,1.23,2.18,3.03,2.4,1.53,3.04,1.97,2.82,1.91,0.92,1.73,3.26,1.63,3.14,3.77,4.9,3.11,2.97,1.42,1.79,3.84,,,,,
May,,2.96,3.59,1.7,1.79,3.31,1.23,2.48,0.46,3.31,4.61,2.02,2.37,4.8,3.38,1.83,3.66,2.47,5.71,2.06,1.63,3.59,3.69,1.78,5.29,3.37,3.46,0.55,0.38,2.24,3.88,3.81,2.4,1.78,2.71,4,2.58,,,,,
June,,2.14,2.01,2.06,5.86,2.49,2.13,5.53,4.86,2.65,4.87,6.01,3.98,5.26,5.15,3.54,0.97,1.86,2.25,0.39,1.69,1.15,4.04,1.7,2.76,1.67,4,2.39,3.43,5.41,3.84,1.79,3.97,2.46,1.2,2.63,1.55,,,,,
July,,1.7,1.91,5.43,5.95,5.31,2.26,3.24,4.1,5.62,0.82,6.36,5.16,7.17,7.62,2.2,7.7,4.14,7.64,2.25,6.81,3.61,4.34,3.54,2.16,5.18,3.56,5.48,4.95,1.56,0.69,3.29,2.63,1.42,3.62,4.95,2.53,,,,,
August,1.88,2.4,2.05,3.61,5.68,7.31,7.95,3.92,3.68,6.44,6.27,4.56,1.62,7.46,4.15,4.94,1.62,2.33,3.17,2.5,4,6,5.46,9.93,8.76,5.28,4.43,4.63,3.46,5.5,8.86,0.98,6.69,4.64,4.1,7.32,3.54,,,,,
September,2.96,10.27,3.59,5.05,10.35,3.56,5.81,7.2,5.25,4.41,5.62,5.14,4.64,3.07,2.98,4.76,5.6,6.79,6.98,4.29,1.83,3.08,5.85,6.82,8.14,5.21,0.36,1.3,7.48,5.5,2.33,5.89,3.46,2,2.38,8.05,2.85,,,,,
October,5.89,3.66,11.57,7.26,7.64,8.05,10.92,5.48,3.96,8.91,5.47,2.77,1.23,3.06,4.48,5.36,4.17,5.57,7.39,2.41,4.54,5.48,3.26,4.65,4.77,7.3,4.86,5.98,4.99,3.05,5.79,3.92,8.85,4.19,4.07,9.75,3.57,,,,,
November,2.89,6.8,3.58,1.22,5.81,2.95,5.03,7.06,3.44,8.74,2.6,1.06,6.95,6.47,8.07,6.91,2.15,4.36,5.7,2.93,6.27,2.43,7.55,5.32,4.72,2.71,6.44,4.62,1.84,8.3,4.87,3.91,4.8,5.83,4.42,4.07,4.38,,,,,
December,10.9,6.18,2.61,5.99,4.58,2.49,3.53,2.88,7.06,6.11,2.61,3.15,7.32,4.74,4.12,4.28,6.04,2.11,5.13,3.64,4.7,3.97,0.63,8.39,3.58,4.52,5.58,5.44,7.96,8.65,5.83,3.18,7.53,5.33,4.89,4.21,5.01,,,,,
Total,,52.65,43.27,46.74,71.06,48.21,52.53,49.55,49.23,65.37,46.17,41.38,42.24,56.23,57.26,47.94,48,45.45,58.31,31.04,39.38,42.4,49.84,50.26,50.22,46.63,50.13,43.13,49.43,54.74,50.73,43.38,55.26,38.02,36.91,59.69,42.12,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR and elevation were confirmed to an OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
