BLAGDON-NORDRACH-ON-MENDIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST513559,Long,-2.69991,Lat,51.30052,Elevation,862,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,5.57,3.34,2.46,5.8,4.47,1.34,5.39,2.85,2.65,1.65,5.09,2.3,4.71,6.81,1.8,5.37,3.69,2.06,4.56,7.63,6.24,5.49,4.74,2.8,,,,,,,
February,7.59,1.46,1.56,2.74,6.16,1.59,3.57,2.95,2.37,0.74,7.27,4.16,3.74,1.49,4.47,5.57,8.4,1.73,3.17,3.42,2.05,0.33,5.71,10.07,,,,,,,
March,1.92,3.33,2.99,5.81,2.66,5.87,3.63,1.88,3.42,4.83,0.89,3.57,7.22,5.24,6.03,1.59,7.32,3.63,1.7,7.09,3.37,3.29,4.2,2.35,,,,,,,
April,2.47,3.36,1.89,3.63,2.98,3.22,1.49,5.71,3.29,3.68,3.33,3.38,0.4,4.41,2.71,1.98,3.12,3.3,3.44,2.77,6.96,1.71,4.75,3.41,,,,,,,
May,3.71,1.49,2.84,4.27,4.34,0.52,5.5,3.04,2.48,3.01,3.14,1.03,2.74,4.54,2.86,3.22,4.4,2.34,2.06,1.23,3.12,2.63,1.61,2.23,,,,,,,
June,4.53,2.02,4.61,5.05,2.07,4.45,2.37,4.58,1.36,3.11,5.62,3.13,5.26,2.71,1.97,0.91,2.6,4.46,1.25,1.48,5.8,0.33,2.92,0.85,,,,,,,
July,0.99,3.97,3.64,4.59,4.14,2.53,1.98,4.46,4.7,4.84,3.83,1.85,3.95,1.17,5.09,4.07,1.84,3.85,7.28,3.14,8.82,1.01,6.49,2.72,,,,,,,
August,4.13,3.51,4.57,7.12,3.63,5.62,4.05,4.98,7.16,3.32,9.04,2.03,11.16,2.08,3.93,3.38,7.05,10.16,3.52,4.09,2.18,2.59,5.75,5.42,,,,,,,
September,1.28,2.72,2.65,4.04,2.7,2.11,1.36,1.24,3.19,3.98,0.36,1.89,1.01,3.41,2.68,1.9,3.38,4.08,10.52,2.8,2.21,2.9,4.71,4.56,,,,,,,
October,5.05,3.85,3.59,11,3.53,2.82,7.6,7.3,1.78,8.01,7.87,3.94,6.52,3.16,3.45,5.47,8.25,9.13,2.94,2.95,3.51,1.3,1.72,6.2,,,,,,,
November,4.92,1.11,4.14,3.48,3.52,3.75,4.64,4.22,1.87,1.5,6.03,5.79,2.78,5.28,5.42,2.46,4.1,1.84,2.96,3.77,2,3.1,2.53,5.37,,,,,,,
December,7.6,7.95,3.68,3.88,2.9,3.44,2.74,7.34,2.68,7.27,7.21,9.77,9.15,3.7,7.42,7.94,5.33,0.74,7.66,8.96,4.11,3.49,5.85,3.98,,,,,,,
Total,49.76,38.11,38.62,61.41,43.1,37.26,44.32,50.55,36.95,45.94,59.68,42.84,58.64,44,47.83,43.86,59.48,47.32,51.06,49.33,50.37,28.17,50.98,49.96,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No mark on sheet to say gauge started in 1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
But no earlier record found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
