GLEAN AIRIGH ( TUNNS FARM ),,,,,,,,,,,,
Grid ref,NR920953,Long,-5.346333,Lat,56.105045,,,,,,,
Station no,5413/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,4.15,6.79,8.93,9.40,1.65,4.18,,
February,,,,,4.10,2.90,3.85,4.40,1.97,5.56,,
March,,,,,2.30,2.29,8.95,2.05,5.56,2.77,,
April,,,,,7.50,2.57,2.27,3.30,5.16,6.67,,
May,,,,,4.40,4.48,2.01,4.15,1.98,3.71,,
June,,,,,5.65,3.36,3.00,3.30,3.50,3.69,,
July,,,,,1.25,7.60,6.75,4.70,9.82,7.21,,
August,,,,,2.45,8.48,6.92,7.01,2.96,5.01,,
September,,,,,9.21,7.40,4.90,5.74,3.30,4.21,,
October,,,,,7.85,5.15,10.27,6.75,9.37,2.96,,
November,,,,,3.11,6.51,5.39,3.20,8.14,7.10,,
December,,,,,8.54,9.59,7.55,7.00,11.68,10.71,,
Total,,,,,60.51,67.12,70.79,61.00,65.09,63.78,,
Calc annual,0.00,0.00,0.00,0.00,60.51,67.12,70.79,61.00,65.09,63.78,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,-0.00,0.00,0.00,,
