EAST-TISTED-ROTHERFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU693322,Long,-1.011981,Lat,51.084941,Elevation,550,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,738/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,1.13,2.53,4.81,2.46,,,,,,,,,,,,,3.03,1.39,4.52,1.97,4.04,6.49,1.07,5.52,2.5,2.02,4.73,7.02,6.07,4.72,6.15,2.28,,4.82,6.52,3.45,7.13,1.71,6.62,2.82,4.6,2.98,3.15,0.87,6.94,8.84,4.27,6.87,3,3.36,3.68,6.9,2.75,2.19,3.77,3.41,7.73,1.37,1.19,5.26,3.28,1.06,2.51,2.58,5.09,3.06,4.21,3.92,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,1.15,5.04,2.19,0.18,,,,,,,,,,,,,1.65,0.79,5.49,2.54,4.1,1.73,7.62,7.57,6.72,1.23,2.59,3.33,1.1,0.28,3.87,6.57,,6.62,2.43,6.17,2.97,1.11,1.17,2.53,0.23,6.94,0.15,4.33,3.26,6.1,0.75,1.98,3.77,3.88,0.59,1.82,0.92,3.1,3.37,2.14,1.72,2.15,6.14,7.94,0.95,2.05,3.54,1.9,0.19,4.58,2.87,0.33,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,1.46,0.48,2.3,2.27,,,,,,,,,,,,,4.4,5.64,1.52,3.17,5.79,4.98,6.14,0.9,4.45,3.34,1.61,6.85,2.74,1.97,3.45,2.48,,1.22,0.87,5.17,3.78,0.19,1.61,0.44,2.36,5.78,3.4,0.93,2.68,4.95,0.39,1.82,3.89,4.38,2.63,0.79,0.3,0.74,1.44,6.63,1.25,1.93,2.44,5.82,2.82,0.7,3.44,1.51,0.96,3.07,1.83,3.76,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,1.29,0.07,2.78,2.57,,,,,,,,,,,,,3.32,2.44,2.97,2.34,0.13,3.93,2.26,1.7,1.37,3.07,2.8,3.21,4.83,1.16,4.37,4.69,,3.07,3.71,2.3,2.35,0.93,3.13,3.93,4.35,1.28,3.13,3.8,2.78,3.31,0.08,2.73,1.36,2.44,2.53,1.14,1.88,1.61,2.82,3.04,2.12,2.44,2.61,3.64,1.91,3.09,0.36,0.34,1.6,0.31,0.96,4.21,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,0.81,1.15,2.43,0.39,,,,,,,,,,,,,2.96,2.24,2.36,2.64,1.92,3.51,1.78,4.61,2.13,2.19,1.78,0.63,1.64,2.55,1.35,2.74,,4.81,3.91,1.66,1.71,2.67,2.52,3.07,4.77,2.26,1.35,1.36,0.65,3.34,2.09,1.75,0.55,3.02,4.09,3.82,0.86,2.08,4.14,1.58,4.04,2.92,2.37,3.85,3.63,3.43,2.7,5.43,0.48,1.61,2.8,0.73,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,1.79,2.5,2.35,0.57,,,,,,,,,,,,,0.66,5.41,3.27,2.47,5.34,0.71,1.41,0.82,2.95,3.78,1.76,0.93,1.79,0.26,1.68,0.35,,0,3.31,3.45,3.37,1.98,0.64,2.03,2.72,2.04,1.55,4.86,3.14,1.24,0.88,1.83,0.32,1.98,0.08,1.63,2.59,2.86,4.43,2.36,3.22,0.99,1.76,2.05,1.62,2.74,4.05,3.29,3,1.4,4,1.17,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,3.05,,2.42,3.97,5.79,4.74,,,,,,,,,,,,,3.91,3.06,3.18,0.41,2.31,1.85,3.94,5.05,1.12,5.3,5.28,1.76,6.56,0.52,6.21,1.46,,3.75,2.78,3.43,2.23,1.59,2.79,4.36,4.02,2.37,2.35,1.11,4.24,1.2,2.58,4.65,3.5,4.41,2.55,3.03,2.84,4.15,2.15,1.26,1.67,1.21,5.62,2,1.28,3.96,3.65,1.61,4.02,5.5,2.04,3.07,4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,3.61,,5.02,1.27,2.36,3.16,,,,,,,,,,,,,5.07,2.75,4.63,1.08,8.29,1.67,2.54,2,4.25,5.9,1.81,4.15,2.02,2.85,4.2,3.27,,4.06,1.88,4.5,3.72,2.39,4.19,5.98,1.29,1.12,3.22,2.65,1.31,1.29,1.96,2.32,0.56,6.23,3.7,2.13,1.55,1.46,5.55,0.47,5.82,1.77,4.55,5.97,3.52,2.54,4.38,0.63,5.04,4.31,4.29,3.3,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,0.95,,3.81,2.22,3.05,0.93,,,,,,,,,,,,,2.43,2.76,0.27,1.23,3.73,4.29,1.72,2.7,2.94,2.79,7.4,2.2,2.72,1.38,2.2,2.44,,3.92,1.12,7.65,1.63,0.38,3.51,2.32,3.87,3.92,2.85,5.55,2.96,2.25,1.63,1.13,1.3,0.2,2.57,1.73,2.03,2.72,6.21,1.9,3.01,1.9,4.14,3.85,3.15,3.72,3.96,2.34,4.15,4.14,5.23,0.16,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,1.87,,5.2,4.34,5.4,3.62,,,,,,,,,,,,,2.48,8.97,5.61,5.27,4.88,4.08,2.94,5.06,7.95,6.62,1.8,0.94,3.84,0.91,1.39,7.33,,5.38,3.13,3.05,8.03,5.34,2.12,0.6,6.77,2.36,1.96,5.23,1.88,4.42,3.99,6,6.7,1.23,3.52,4.61,4.85,4.69,1.38,1.38,2.95,8.69,0.9,1.17,5.44,4.7,3.96,5.78,2.8,2.53,3.76,3.43,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
