LIVERPOOL (RATHBONE RD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ391907,Long,-2.917603,Lat,53.409582,Elevation,198,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.62,4.29,2.03,1.73,2.14,2.16,1.28,5.08,1.18,1.8,1.9,3.04,0.5,5.17,4.35,1.46,3.97,1.94,2.1,2,4.24,3.93,4.46,4.01,2.27,3.03,1.78,3.29,3.9,6.53,2.46,4.83,3.6,3.19,1.65,2.22,1.78,4.75,2.21,3.47,5.1,1.77,2.23,3.9,3.78,4.33,2.11,4.04,2.42,6.99,2.54,1.1,2.54,3.85,1.29,3.37,2.11,4.07,1.41,2.43,2.65,4.57
February,,,,,,,,,,1.27,3.47,1.53,2.16,1.93,3.52,1.4,2.39,1.7,2.62,0.89,2.9,2.68,1.2,0.9,1.74,2.73,4,1.9,2.8,1.38,3.27,0.25,3.46,4.24,0.81,5.65,3.58,1.71,3.19,1.12,0.22,2.81,0.08,3.09,0.26,3.01,2.51,5.33,0.79,2.7,2.21,3.43,1.47,1.81,1.28,2.85,4.61,1.01,1.89,1.06,4.47,2.79,0.94,1.1,2.81,2.14,0.42,1.78,4.69,0.24,1.46
March,,,,,,,,,,1.6,1.22,1.75,2.12,3.09,1.37,3.44,2.3,2.01,2.91,2.75,0.71,1.4,4.94,3.34,3.48,2.77,1.94,3.31,1.62,6.11,4.69,2.26,1.83,1.75,1.3,1.03,1.21,3.07,1.92,0.63,3.26,0.33,2.34,2.05,1.82,1.05,2.04,1.34,1.1,1.72,2.88,3.14,3.07,0.74,0.9,1,0.89,4.7,0.86,2.35,1.2,4.75,1.89,1.15,2.14,1.86,1.42,2.14,1.49,1.23,1.68
April,,,,,,,,,,2.73,1.51,2.06,2.02,1.97,1.21,2.46,1.32,1.37,3.34,2.88,3.65,2.76,0.27,3.46,0.74,3.51,2.63,1.92,1.34,1.89,4.96,1.49,2.14,3.33,2.29,2.6,1,2.04,0.94,1.2,2.64,2.92,3.51,1.79,1.85,2.83,1.36,3.48,0.29,2.31,2.02,1.73,1.77,1.48,2.17,1.88,1.11,2.58,1.29,2.7,2.87,1.29,2.07,2.37,0.82,1.89,2.87,0.43,0.79,2.89,1.02
May,,,,,,,,,,2.88,1.52,1,4.5,3.21,2.27,0.58,2.63,3.26,3.02,1.46,2.56,0.89,2.11,3.02,2.06,1.85,3.41,3.7,3.33,1.24,3.95,2.19,1.55,3.59,6.99,3.4,4.03,1.4,1.3,2.17,1.03,2.57,4.78,1.72,2.12,2.13,1.19,2.56,3.49,1.43,2.22,1.85,3.59,2.52,1.75,3.89,1.88,3.58,1.38,3.21,1.04,3.02,1.93,2.09,3.06,2.92,1.06,1.52,2.51,1.95,2.39
June,,,,,,,,,,2.13,3.81,2.17,2.1,1.71,1.77,1.85,1.37,6.16,2.46,2.53,3.71,3.21,4.19,1.93,1.87,1.06,3.03,2.35,2.61,1.65,3.33,0.22,2.96,0.68,2.84,0.13,1.74,4.98,5.93,1.33,1.63,4.82,0.37,1.72,1.5,3.81,3.11,1.72,3.45,2.9,1.07,0.58,0.3,2.48,2.89,3.32,3.25,2.44,3.89,0.8,2.15,1.24,2.27,1.55,3.63,3.38,2.39,1.47,4.36,2.76,1.1
July,,,,,,,,,,2.48,1.15,2.03,2.09,3.64,1.76,2.23,0.79,2.13,4.07,4.36,5.18,1.09,3.92,2.54,4.59,3.63,1.57,2.2,5.88,1.64,5.54,1.79,5.29,3.59,4.81,3.69,4.01,3.09,2.23,3.13,5.81,2.35,4.59,2.54,1.03,2.33,3.5,2.01,3.3,5.76,3.56,2.93,3.24,5.25,2.47,2.47,3.96,3.26,3.23,2.84,2.41,1.74,1.73,3.31,4.21,0.9,5,4.3,4.08,3.37,3.65
August,,,,,,,,,,1.7,6.49,3.86,2.66,3.92,4.8,3.7,2.78,3.51,3.84,3.13,4.54,3.51,6.58,2.13,2.59,6.34,2.37,8.08,2.36,5.26,2.75,5.79,4.13,4.09,6.95,4.34,4.3,6.27,3.98,3.99,6.34,7.63,1.24,2.01,3.88,2.45,2.05,2.85,6.17,1.44,1.02,4.89,4.54,3.62,3.74,2.92,5.44,0.4,4.01,2.05,6.46,4.78,1.85,3.71,5.07,1.65,8.92,4.06,3.1,1.1,4.01
September,,,,,,,,,,4.02,0.74,1.4,1.28,5.02,2.43,1.79,1.64,0.73,3.15,3.23,0.58,4.59,1.43,2.17,3.34,0.79,3.11,1.59,8.74,2.58,3.41,1.53,4.26,4.05,4.86,4.53,3.96,7.25,1.75,2.71,2.74,5.08,3.96,0.84,2.6,5.9,3.26,2.36,2.72,1.13,3.65,0.9,1.99,4.47,5.54,1.98,3.83,2.7,1.86,1.2,5.41,2.45,3.6,3.31,3.55,2.84,2.55,5.88,4.43,0.21,3.28
October,,,,,,,,,,3.37,4.04,3.66,3.34,7.61,1.77,3.78,5.33,3.75,2.37,4.35,2.86,3.21,3.86,2.74,2.28,2.44,4.78,7.43,3.3,3.32,1.54,3.17,0.62,4.5,4.82,4.96,4.08,3.81,4.13,5.15,5.76,1.97,7,3.97,6.09,4.66,2.37,2.72,5.65,2.34,4.45,3.39,3.67,3.97,4.31,4.15,0.74,1.12,2.44,3.63,2.38,0.94,4.28,1.51,6.18,2.46,2.37,3.47,2.92,3.17,3.69
