RAVENSTONEDALE RAILWAY STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY700053,Long,-2.464082,Lat,54.442214,Elevation,800,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,9.97,4.49,3.31,7,5.55,14.27,0.92,11.37,3.66,9.63,3.78,6.72,1.75,6.59,6.03,7,10.98,,,4.69,8.92,6.99,5.18,6.28,,,,
February,,,,16.63,0.63,8.5,4.58,3.44,7.49,0.08,0.31,3.67,0.29,6.42,0.63,9.24,1.9,6.51,3.56,5.65,1.9,5.59,,4.24,2.22,7.27,3.94,,,,
March,,,,4.92,1.51,0.73,1.57,3.89,5.3,0.83,4.12,0.25,3.11,3.18,3.26,1.66,2.99,4.02,3.85,3.28,5.17,3.2,,2.61,0.73,2.69,2.58,,,,
April,,,,9.24,1.39,6.25,2.97,3.46,1.33,1.42,1.84,2.48,3.92,1.41,2.93,3.34,0.82,3.08,1.31,1.32,1.69,1.37,3.05,4.1,3,2.84,1.62,,,,
May,,,,7.49,7.27,5.47,1.89,2.2,0.95,3.19,1.29,2.8,3.18,3.5,3.96,0.8,0.35,3.05,2.97,,0.81,1.8,4.82,5.12,2.26,3.74,1.79,,,,
June,,,,4.19,4.55,0.01,2.1,4.32,10.08,2.15,2.24,5.62,1.99,1.97,2.56,2.54,2.41,1.7,4.99,3.7,0.75,0.19,0.86,4.58,4.2,4.09,3.06,,,,
July,,,,9.5,4.6,1.39,5.97,5.2,3.1,5.35,6.41,5.64,3.93,3.33,1.97,1.63,4.63,1.78,4.4,6.11,5.72,1.45,2.83,3.87,4.19,2.2,5.09,,,,
August,,,,20.18,3,6.14,4.42,7.13,8.88,6.16,5.94,3.72,0.83,2.21,4.31,1.85,2.78,1.85,2.48,3.99,2.29,4.53,4.92,7.04,3.36,2.68,6.78,,,,
September,,,,12.68,6.54,5.31,5.37,7.13,1.93,2.52,2.91,1.75,,1.98,4.53,8.28,6.1,4.31,1.5,1.53,3.66,0.86,4.46,5.05,5.15,3.43,7.77,,,,
October,,,,22.85,3.87,5.54,3.5,6.72,7.12,6.07,7.49,2.38,5.97,6.9,7.95,9.15,4.67,2.13,13.05,1.71,4.27,4.88,4.91,5.4,4.58,7.82,0.56,,,,
November,,,,16.18,2.96,1.7,7.1,5.63,9.9,9.76,6.73,10.36,3.67,1.79,0.6,5.65,4.96,0.76,6.62,7.32,7.32,3.34,1.25,3.03,9.02,0.23,8.47,,,,
December,,,,11.2,9.57,1.45,0.81,0.98,4.26,10.41,6.36,4.38,6.75,0.6,6.83,1.72,7.11,2.41,4.29,3.79,3.97,3.43,6.25,3.25,4.74,2.48,5.35,,,,
Total,,,,145.03,50.38,45.8,47.28,55.65,74.61,48.86,57.01,46.71,,37.07,46.25,47.61,45.31,37.63,56.02,,,,,57.21,50.44,44.65,53.29,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 Sept and total estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 May and total estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan estimated from adjacent stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Jan and total estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1942 Feb. Mar, total estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
