KINGSTON UNION STREET,,,,,,,,,,,,
Grid ref,TQ179692,Long,-0.306201,Lat,51.409576,,,,,,,
Station no,RR8232,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.28,1.07,0.69,2.28,2.59,0.92,3.23,0.76,1.64,0.75,,
February,3.84,0.98,0.74,0.95,2.20,0.71,1.52,1.16,0.91,0.45,,
March,1.00,2.19,1.58,2.35,1.40,3.20,1.05,0.82,2.47,3.12,,
April,0.82,1.77,0.65,1.49,0.88,1.42,0.44,3.18,2.55,1.57,,
May,0.97,0.27,2.37,2.09,2.24,0.71,1.05,1.66,1.34,1.64,,
June,2.17,0.85,3.97,6.19,0.89,4.35,2.40,1.81,2.57,3.47,,
July,1.06,2.53,1.16,5.61,1.57,0.93,0.73,1.09,2.46,3.85,,
August,2.84,1.58,2.59,3.96,1.72,2.58,0.98,2.23,3.09,1.23,,
September,0.81,1.52,2.97,2.94,1.19,1.43,2.32,0.30,1.57,2.06,,
October,1.56,1.70,1.39,4.59,1.36,0.98,3.55,3.25,2.05,3.41,,
November,1.94,0.42,1.52,1.90,1.46,2.90,3.79,2.07,0.50,0.73,,
December,2.21,3.03,1.25,1.38,2.31,0.68,1.87,3.06,1.93,2.48,,
Total,22.50,17.91,20.88,35.73,19.81,20.81,22.93,21.39,23.08,24.76,,
Calc annual,22.50,17.91,20.88,35.73,19.81,20.81,22.93,21.39,23.08,24.76,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
