KINGSTON-UNION-STREET,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ179692,Long,-0.30620105,Lat,51.409576,Elevation,26,ft.,,,,,,,,,,,,
Station no,RR8232,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,3.28,1.07,0.69,2.28,2.59,0.92,3.23,0.76,1.64,0.75,1.65,1.14,3.04,2.72,0.59,4.03,,,,
February,3.84,0.98,0.74,0.95,2.2,0.71,1.52,1.16,0.91,0.45,2.52,1,1.62,0.87,2.69,3.25,,,,
March,1,2.19,1.58,2.35,1.4,3.2,1.05,0.82,2.47,3.12,0.98,1.43,2.56,2.38,4.25,0.81,,,,
April,0.82,1.77,0.65,1.49,0.88,1.42,0.44,3.18,2.55,1.57,1.24,1.4,0.06,2.66,1,1.49,,,,
May,0.97,0.27,2.37,2.09,2.24,0.71,1.05,1.66,1.34,1.64,1.59,2.21,1.36,1.94,1.15,3.15,,,,
June,2.17,0.85,3.97,6.19,0.89,4.35,2.4,1.81,2.57,3.47,2.27,2.05,3.52,0.4,3.14,0.96,,,,
July,1.06,2.53,1.16,5.61,1.57,0.93,0.73,1.09,2.46,3.85,3.6,0.71,1.51,2.12,1.92,4.06,,,,
August,2.84,1.58,2.59,3.96,1.72,2.58,0.98,2.23,3.09,1.23,2.37,0.95,5.3,1.67,1.74,2.37,,,,
September,0.81,1.52,2.97,2.94,1.19,1.43,2.32,0.3,1.57,2.06,0.95,1.14,2.28,2.03,0.86,2.63,,,,
October,1.56,1.7,1.39,4.59,1.36,0.98,3.55,3.25,2.05,3.41,1.91,2.75,2.27,4.56,1.4,3.09,,,,
November,1.94,0.42,1.52,1.9,1.46,2.9,3.79,2.07,0.5,0.73,2.99,3.42,1.84,2.25,2.68,1.95,,,,
December,2.21,3.03,1.25,1.38,2.31,0.68,1.87,3.06,1.93,2.48,3.43,4.96,2.8,1.03,6.46,5.53,,,,
Total,22.5,17.91,20.88,35.73,19.81,20.81,22.93,21.39,23.08,24.76,25.5,23.16,28.16,24.63,27.88,33.32,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Union Street at the stated relationship to church and station. Altitudes match.,,,,,,,,,,,,,,,,,,,,
