"BISHOPWEARMOUTH, SUNDERLAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ394573,Long,-1.386221,Lat,54.909312,Elevation,130,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,,,,1.45,0.66,1.71,1.18,0.48,1.68,1.57,2.3,0.43,1.67,0.72,1.65,0.67,1.1,1.39,1.99,1.84,1.97,1.87,1.48,0.59,1.52,1.14,0.31,0.37,2.81,1.04,1.96,2.01,0.75,1.22,1,1.83,1.03,1.22,,
February,,,,,,1.05,0.96,1.27,1.26,0.58,0.85,0.87,0.46,2.58,1.01,0.44,0.2,0.67,2.15,0.33,0.67,0.63,0.44,1.27,0.25,1.17,0.92,0.38,0.4,0.47,1.12,1.53,1.21,0.29,1.47,1.15,0.97,0.52,0.53,1.05,,
March,,,,,,1.52,1.84,1.11,1.29,1.73,0.6,0.78,0.8,0.73,1.04,0.9,0.99,0.65,2.73,1.01,0.46,1.78,0.45,0.61,0.43,1.24,0.09,1.69,0.33,1.41,1.35,1.89,2.99,1.07,2.1,0.78,1.83,0.99,0.85,1.02,,
April,,,,,,0.33,0.86,1.32,1.07,0.85,0.22,0.46,0.39,2.27,0.71,1.12,3.28,0.8,1.05,2.86,1.61,1.7,0.89,0.8,0.36,0.18,1.8,2.88,0.44,1.25,0.87,1,0.8,0.75,1.36,0.78,1.53,1.05,1.32,1.26,,
May,,,,,,0.96,0.16,0.77,3.17,0.46,2.54,1.46,0.89,3.56,0.28,1.35,1.11,6.14,1.81,1.81,1.47,0.59,1.21,0.5,1.53,1.28,3,1.57,1.88,0.16,1.97,0.72,2.2,1.22,1.59,3.47,0.78,2.21,1.18,2.09,,
June,,,,,,1.51,1.34,2.27,2.16,3.1,1.43,1.05,0.96,1.82,1.32,2.83,1.36,1.38,5.07,0.77,1.73,1.77,3.19,0.92,2.04,1.37,2.13,2.19,1.06,1.85,2.55,1.93,2.51,4.01,1.36,0.64,1.69,1.32,0.33,0.73,,
July,,,,,,1.36,2.95,4.3,2.1,3.62,2.57,1.8,1.7,2.24,1.8,2.66,2.61,0.37,1.24,2.39,3.36,1.23,2.11,1.83,1.32,2.14,1.42,1.08,3.24,2.79,2.94,3.18,1.7,0.94,0.88,1.78,3.78,3.64,0.72,0.84,,
August,,,,,,1.26,1.38,1.3,1.49,2.13,1.84,2.46,1.13,0.62,1.64,4.21,1.49,1.69,2.93,1.82,0.77,1.72,1.84,1.29,2.27,1.8,2.22,2.78,2.58,1.26,2.24,1.29,3.51,2.57,1.07,2.92,2.42,1.99,1.71,1.23,,
September,,,,,,2.17,1.99,1.06,2.29,3.29,3.65,1.43,1.61,0.8,1.91,1.12,1.85,1,2.5,3.04,1.43,2.69,2.62,1.4,0.41,0.22,2.3,2.44,2.48,1.79,2.44,2.01,0.86,1.93,1.05,0.45,3.98,2.03,2.86,3.23,,
October,,,,,,2.08,3.06,1.25,1.22,2.1,1.34,3.86,1.51,2.46,0.93,3.48,3.26,4.04,4.52,1.74,2.36,0.7,2.06,1.9,0.75,2.05,0.52,0.97,1.82,2.04,1.5,1.01,1.28,2.93,3.94,4.28,1.28,0.84,1.58,1.96,,
November,,,,,,2.42,4.1,0.79,1.58,2.61,2.79,2.09,1.86,1.91,0.86,0.69,1.79,1.67,0.95,0.94,1.65,1.01,3.03,0.62,1.81,1.18,0.55,1.74,2.47,1.41,2.44,3,0.76,2.29,1.61,1.8,1.52,0.66,1.78,1.53,,
December,,,,,,0.79,0.89,2.9,0.41,2.49,1.25,1.72,0.16,0.15,0.37,1.16,1.43,4.49,0.97,1.86,0.29,0.31,2.58,0.91,0.83,0.98,1.65,0.07,0.86,1.59,2.48,0.7,1.19,1.7,2.34,1.46,1.44,1.32,3.17,1.69,,
Total,,,,,,16.9,20.19,20.05,19.22,23.44,20.76,19.55,13.77,19.57,13.54,20.68,21.02,23.57,27.02,19.96,17.79,15.97,22.39,13.92,13.48,14.2,18.12,18.93,17.87,16.39,24.71,19.3,20.97,21.71,19.52,20.73,22.22,18.4,17.06,17.85,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is where Dunning House was located at the north end of the old Dunning Street; the observer Dr Henry Ogden lived there. The gauge was on the roof of the house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
